Module          | Self CPU total | CPU total | Self CUDA total | CUDA total | Number of Calls
││├── 6         |                |           |                 |            |                
│││├── ln_1     | 152.932ms      | 179.773ms | 87.500ms        | 97.015ms   | 512            
│││├── attn     |                |           |                 |            |                
││││├── c_attn  | 58.722ms       | 66.306ms  | 15.359ms        | 15.359ms   | 512            
││││└── c_proj  | 56.240ms       | 62.244ms  | 14.645ms        | 14.645ms   | 512            
│││├── ln_2     | 158.294ms      | 185.712ms | 122.109ms       | 126.938ms  | 512            
│││├── mlp      |                |           |                 |            |                
││││├── c_fc    | 79.623ms       | 87.054ms  | 22.390ms        | 22.390ms   | 512            
││││└── c_proj  | 76.516ms       | 82.789ms  | 19.747ms        | 19.747ms   | 512            
││├── 7         |                |           |                 |            |                
│││├── ln_1     | 153.558ms      | 180.769ms | 115.474ms       | 124.984ms  | 512            
│││├── attn     |                |           |                 |            |                
││││├── c_attn  | 58.197ms       | 65.841ms  | 15.307ms        | 15.307ms   | 512            
││││└── c_proj  | 56.390ms       | 62.364ms  | 12.213ms        | 12.213ms   | 512            
│││├── ln_2     | 155.313ms      | 182.959ms | 101.401ms       | 106.217ms  | 512            
│││├── mlp      |                |           |                 |            |                
││││├── c_fc    | 77.520ms       | 84.995ms  | 22.389ms        | 22.389ms   | 512            
││││└── c_proj  | 75.667ms       | 81.766ms  | 19.700ms        | 19.700ms   | 512            
││├── 8         |                |           |                 |            |                
│││├── ln_1     | 157.131ms      | 184.320ms | 105.641ms       | 110.463ms  | 512            
│││├── attn     |                |           |                 |            |                
││││├── c_attn  | 59.048ms       | 67.171ms  | 15.307ms        | 15.307ms   | 512            
││││└── c_proj  | 62.484ms       | 68.599ms  | 16.893ms        | 16.893ms   | 512            
│││├── ln_2     | 154.962ms      | 182.911ms | 96.197ms        | 101.015ms  | 512            
│││├── mlp      |                |           |                 |            |                
││││├── c_fc    | 78.511ms       | 86.262ms  | 22.184ms        | 22.184ms   | 512            
││││└── c_proj  | 80.616ms       | 86.817ms  | 33.571ms        | 33.571ms   | 512            
││├── 9         |                |           |                 |            |                
│││├── ln_1     | 159.676ms      | 187.058ms | 98.314ms        | 107.867ms  | 512            
│││├── attn     |                |           |                 |            |                
││││├── c_attn  | 59.492ms       | 67.577ms  | 20.107ms        | 20.107ms   | 512            
││││└── c_proj  | 56.439ms       | 62.383ms  | 16.822ms        | 16.822ms   | 512            
│││├── ln_2     | 156.449ms      | 183.854ms | 112.761ms       | 122.270ms  | 512            
│││├── mlp      |                |           |                 |            |                
││││├── c_fc    | 76.153ms       | 83.497ms  | 22.234ms        | 22.234ms   | 512            
││││└── c_proj  | 75.989ms       | 82.228ms  | 19.677ms        | 19.677ms   | 512            
││├── 10        |                |           |                 |            |                
│││├── ln_1     | 153.209ms      | 180.139ms | 95.971ms        | 100.789ms  | 512            
│││├── attn     |                |           |                 |            |                
││││├── c_attn  | 58.465ms       | 65.833ms  | 15.335ms        | 15.335ms   | 512            
││││└── c_proj  | 55.926ms       | 61.918ms  | 14.573ms        | 14.573ms   | 512            
│││├── ln_2     | 152.653ms      | 179.938ms | 96.430ms        | 101.253ms  | 512            
│││├── mlp      |                |           |                 |            |                
││││├── c_fc    | 84.524ms       | 91.787ms  | 31.583ms        | 31.583ms   | 512            
││││└── c_proj  | 75.734ms       | 81.870ms  | 19.458ms        | 19.458ms   | 512            
││└── 11        |                |           |                 |            |                
││ ├── ln_1     | 153.171ms      | 180.364ms | 93.653ms        | 98.472ms   | 512            
││ ├── attn     |                |           |                 |            |                
││ │├── c_attn  | 59.413ms       | 66.955ms  | 20.044ms        | 20.044ms   | 512            
││ │└── c_proj  | 59.876ms       | 65.987ms  | 16.741ms        | 16.741ms   | 512            
││ ├── ln_2     | 154.898ms      | 182.778ms | 115.321ms       | 120.141ms  | 512            
││ └── mlp      |                |           |                 |            |                
││  ├── c_fc    | 78.384ms       | 86.025ms  | 17.742ms        | 17.742ms   | 512            
││  └── c_proj  | 76.726ms       | 83.075ms  | 24.458ms        | 24.458ms   | 512            
│└── ln_f       | 153.078ms      | 179.944ms | 91.684ms        | 96.506ms   | 512            
└── lm_head     |                |           |                 |            |                
 └── decoder    | 69.600ms       | 184.523ms | 108.968ms       | 319.657ms  | 512
