node1 -- Embedding: 2-2 -- forward_compute_time=21.662, backward_compute_time=0.000, activation_size=6553600, parameter_size=643289600
node99 -- LayerNorm: 4-65 -- forward_compute_time=73.616, backward_compute_time=0.000, activation_size=6553600, parameter_size=25600
node100 -- Conv1D: 5-65 -- forward_compute_time=32.144, backward_compute_time=0.000, activation_size=19660800, parameter_size=61478400
node101 -- Conv1D: 5-66 -- forward_compute_time=21.9, backward_compute_time=0.000, activation_size=6553600, parameter_size=20492800
node102 -- LayerNorm: 4-67 -- forward_compute_time=75.776, backward_compute_time=0.000, activation_size=6553600, parameter_size=25600
node103 -- Conv1D: 5-67 -- forward_compute_time=38.925, backward_compute_time=0.000, activation_size=26214400, parameter_size=81971200
node104 -- Conv1D: 5-68 -- forward_compute_time=40.561, backward_compute_time=0.000, activation_size=6553600, parameter_size=81932800
node105 -- LayerNorm: 4-69 -- forward_compute_time=75.727, backward_compute_time=0.000, activation_size=6553600, parameter_size=25600
node106 -- Conv1D: 5-69 -- forward_compute_time=32.371, backward_compute_time=0.000, activation_size=19660800, parameter_size=61478400
node107 -- Conv1D: 5-70 -- forward_compute_time=24.114, backward_compute_time=0.000, activation_size=6553600, parameter_size=20492800
node108 -- LayerNorm: 4-71 -- forward_compute_time=73.58, backward_compute_time=0.000, activation_size=6553600, parameter_size=25600
node109 -- Conv1D: 5-71 -- forward_compute_time=39.202, backward_compute_time=0.000, activation_size=26214400, parameter_size=81971200
node110 -- Conv1D: 5-72 -- forward_compute_time=40.751, backward_compute_time=0.000, activation_size=6553600, parameter_size=81932800
node111 -- LayerNorm: 4-73 -- forward_compute_time=78.61, backward_compute_time=0.000, activation_size=6553600, parameter_size=25600
node112 -- Conv1D: 5-73 -- forward_compute_time=32.015, backward_compute_time=0.000, activation_size=19660800, parameter_size=61478400
node113 -- Conv1D: 5-74 -- forward_compute_time=21.93, backward_compute_time=0.000, activation_size=6553600, parameter_size=20492800
node114 -- LayerNorm: 4-75 -- forward_compute_time=73.653, backward_compute_time=0.000, activation_size=6553600, parameter_size=25600
node115 -- Conv1D: 5-75 -- forward_compute_time=41.439, backward_compute_time=0.000, activation_size=26214400, parameter_size=81971200
node116 -- Conv1D: 5-76 -- forward_compute_time=40.892, backward_compute_time=0.000, activation_size=6553600, parameter_size=81932800
node117 -- LayerNorm: 4-77 -- forward_compute_time=98.737, backward_compute_time=0.000, activation_size=6553600, parameter_size=25600
node118 -- Conv1D: 5-77 -- forward_compute_time=32.099, backward_compute_time=0.000, activation_size=19660800, parameter_size=61478400
node119 -- Conv1D: 5-78 -- forward_compute_time=21.886, backward_compute_time=0.000, activation_size=6553600, parameter_size=20492800
node120 -- LayerNorm: 4-79 -- forward_compute_time=76.021, backward_compute_time=0.000, activation_size=6553600, parameter_size=25600
node121 -- Conv1D: 5-79 -- forward_compute_time=43.835, backward_compute_time=0.000, activation_size=26214400, parameter_size=81971200
node122 -- Conv1D: 5-80 -- forward_compute_time=43.539, backward_compute_time=0.000, activation_size=6553600, parameter_size=81932800
node123 -- LayerNorm: 4-81 -- forward_compute_time=74.514, backward_compute_time=0.000, activation_size=6553600, parameter_size=25600
node124 -- Conv1D: 5-81 -- forward_compute_time=31.965, backward_compute_time=0.000, activation_size=19660800, parameter_size=61478400
node125 -- Conv1D: 5-82 -- forward_compute_time=27.099, backward_compute_time=0.000, activation_size=6553600, parameter_size=20492800
node126 -- LayerNorm: 4-83 -- forward_compute_time=84.355, backward_compute_time=0.000, activation_size=6553600, parameter_size=25600
node127 -- Conv1D: 5-83 -- forward_compute_time=44.041, backward_compute_time=0.000, activation_size=26214400, parameter_size=81971200
node128 -- Conv1D: 5-84 -- forward_compute_time=41.397, backward_compute_time=0.000, activation_size=6553600, parameter_size=81932800
node129 -- LayerNorm: 4-85 -- forward_compute_time=78.644, backward_compute_time=0.000, activation_size=6553600, parameter_size=25600
node130 -- Conv1D: 5-85 -- forward_compute_time=34.489, backward_compute_time=0.000, activation_size=19660800, parameter_size=61478400
node131 -- Conv1D: 5-86 -- forward_compute_time=29.395, backward_compute_time=0.000, activation_size=6553600, parameter_size=20492800
node132 -- LayerNorm: 4-87 -- forward_compute_time=73.603, backward_compute_time=0.000, activation_size=6553600, parameter_size=25600
node133 -- Conv1D: 5-87 -- forward_compute_time=38.867, backward_compute_time=0.000, activation_size=26214400, parameter_size=81971200
node134 -- Conv1D: 5-88 -- forward_compute_time=43.207, backward_compute_time=0.000, activation_size=6553600, parameter_size=81932800
node135 -- LayerNorm: 4-89 -- forward_compute_time=80.46, backward_compute_time=0.000, activation_size=6553600, parameter_size=25600
node136 -- Conv1D: 5-89 -- forward_compute_time=31.985, backward_compute_time=0.000, activation_size=19660800, parameter_size=61478400
node137 -- Conv1D: 5-90 -- forward_compute_time=22.279, backward_compute_time=0.000, activation_size=6553600, parameter_size=20492800
node138 -- LayerNorm: 4-91 -- forward_compute_time=74.055, backward_compute_time=0.000, activation_size=6553600, parameter_size=25600
node139 -- Conv1D: 5-91 -- forward_compute_time=41.214, backward_compute_time=0.000, activation_size=26214400, parameter_size=81971200
node140 -- Conv1D: 5-92 -- forward_compute_time=40.922, backward_compute_time=0.000, activation_size=6553600, parameter_size=81932800
node141 -- LayerNorm: 4-93 -- forward_compute_time=75.611, backward_compute_time=0.000, activation_size=6553600, parameter_size=25600
node142 -- Conv1D: 5-93 -- forward_compute_time=34.525, backward_compute_time=0.000, activation_size=19660800, parameter_size=61478400
node143 -- Conv1D: 5-94 -- forward_compute_time=22.128, backward_compute_time=0.000, activation_size=6553600, parameter_size=20492800
node144 -- LayerNorm: 4-95 -- forward_compute_time=80.803, backward_compute_time=0.000, activation_size=6553600, parameter_size=25600
node145 -- Conv1D: 5-95 -- forward_compute_time=39.476, backward_compute_time=0.000, activation_size=26214400, parameter_size=81971200
node146 -- Conv1D: 5-96 -- forward_compute_time=40.719, backward_compute_time=0.000, activation_size=6553600, parameter_size=81932800
node147 -- LayerNorm: 4-97 -- forward_compute_time=73.944, backward_compute_time=0.000, activation_size=6553600, parameter_size=25600
node148 -- Conv1D: 5-97 -- forward_compute_time=32.133, backward_compute_time=0.000, activation_size=19660800, parameter_size=61478400
node149 -- Conv1D: 5-98 -- forward_compute_time=21.802, backward_compute_time=0.000, activation_size=6553600, parameter_size=20492800
node150 -- LayerNorm: 4-99 -- forward_compute_time=73.572, backward_compute_time=0.000, activation_size=6553600, parameter_size=25600
node151 -- Conv1D: 5-99 -- forward_compute_time=39.15, backward_compute_time=0.000, activation_size=26214400, parameter_size=81971200
node152 -- Conv1D: 5-100 -- forward_compute_time=41.789, backward_compute_time=0.000, activation_size=6553600, parameter_size=81932800
node153 -- LayerNorm: 4-101 -- forward_compute_time=77.76, backward_compute_time=0.000, activation_size=6553600, parameter_size=25600
node154 -- Conv1D: 5-101 -- forward_compute_time=34.209, backward_compute_time=0.000, activation_size=19660800, parameter_size=61478400
node155 -- Conv1D: 5-102 -- forward_compute_time=21.191, backward_compute_time=0.000, activation_size=6553600, parameter_size=20492800
node156 -- LayerNorm: 4-103 -- forward_compute_time=75.417, backward_compute_time=0.000, activation_size=6553600, parameter_size=25600
node157 -- Conv1D: 5-103 -- forward_compute_time=43.216, backward_compute_time=0.000, activation_size=26214400, parameter_size=81971200
node158 -- Conv1D: 5-104 -- forward_compute_time=40.684, backward_compute_time=0.000, activation_size=6553600, parameter_size=81932800
node159 -- LayerNorm: 4-105 -- forward_compute_time=75.999, backward_compute_time=0.000, activation_size=6553600, parameter_size=25600
node160 -- Conv1D: 5-105 -- forward_compute_time=32.267, backward_compute_time=0.000, activation_size=19660800, parameter_size=61478400
node161 -- Conv1D: 5-106 -- forward_compute_time=23.994, backward_compute_time=0.000, activation_size=6553600, parameter_size=20492800
node162 -- LayerNorm: 4-107 -- forward_compute_time=73.257, backward_compute_time=0.000, activation_size=6553600, parameter_size=25600
node163 -- Conv1D: 5-107 -- forward_compute_time=41.399, backward_compute_time=0.000, activation_size=26214400, parameter_size=81971200
node164 -- Conv1D: 5-108 -- forward_compute_time=40.75, backward_compute_time=0.000, activation_size=6553600, parameter_size=81932800
node165 -- LayerNorm: 4-109 -- forward_compute_time=77.459, backward_compute_time=0.000, activation_size=6553600, parameter_size=25600
node166 -- Conv1D: 5-109 -- forward_compute_time=38.693, backward_compute_time=0.000, activation_size=19660800, parameter_size=61478400
node167 -- Conv1D: 5-110 -- forward_compute_time=23.544, backward_compute_time=0.000, activation_size=6553600, parameter_size=20492800
node168 -- LayerNorm: 4-111 -- forward_compute_time=75.378, backward_compute_time=0.000, activation_size=6553600, parameter_size=25600
node169 -- Conv1D: 5-111 -- forward_compute_time=41.193, backward_compute_time=0.000, activation_size=26214400, parameter_size=81971200
node170 -- Conv1D: 5-112 -- forward_compute_time=46.252, backward_compute_time=0.000, activation_size=6553600, parameter_size=81932800
node171 -- LayerNorm: 4-113 -- forward_compute_time=75.876, backward_compute_time=0.000, activation_size=6553600, parameter_size=25600
node172 -- Conv1D: 5-113 -- forward_compute_time=36.073, backward_compute_time=0.000, activation_size=19660800, parameter_size=61478400
node173 -- Conv1D: 5-114 -- forward_compute_time=21.99, backward_compute_time=0.000, activation_size=6553600, parameter_size=20492800
node174 -- LayerNorm: 4-115 -- forward_compute_time=75.815, backward_compute_time=0.000, activation_size=6553600, parameter_size=25600
node175 -- Conv1D: 5-115 -- forward_compute_time=38.572, backward_compute_time=0.000, activation_size=26214400, parameter_size=81971200
node176 -- Conv1D: 5-116 -- forward_compute_time=45.193, backward_compute_time=0.000, activation_size=6553600, parameter_size=81932800
node177 -- LayerNorm: 4-117 -- forward_compute_time=73.049, backward_compute_time=0.000, activation_size=6553600, parameter_size=25600
node178 -- Conv1D: 5-117 -- forward_compute_time=34.14, backward_compute_time=0.000, activation_size=19660800, parameter_size=61478400
node179 -- Conv1D: 5-118 -- forward_compute_time=24.164, backward_compute_time=0.000, activation_size=6553600, parameter_size=20492800
node180 -- LayerNorm: 4-119 -- forward_compute_time=76.282, backward_compute_time=0.000, activation_size=6553600, parameter_size=25600
node181 -- Conv1D: 5-119 -- forward_compute_time=39.046, backward_compute_time=0.000, activation_size=26214400, parameter_size=81971200
node182 -- Conv1D: 5-120 -- forward_compute_time=40.857, backward_compute_time=0.000, activation_size=6553600, parameter_size=81932800
node183 -- LayerNorm: 4-121 -- forward_compute_time=73.723, backward_compute_time=0.000, activation_size=6553600, parameter_size=25600
node184 -- Conv1D: 5-121 -- forward_compute_time=34.08, backward_compute_time=0.000, activation_size=19660800, parameter_size=61478400
node185 -- Conv1D: 5-122 -- forward_compute_time=24.18, backward_compute_time=0.000, activation_size=6553600, parameter_size=20492800
node186 -- LayerNorm: 4-123 -- forward_compute_time=73.988, backward_compute_time=0.000, activation_size=6553600, parameter_size=25600
node187 -- Conv1D: 5-123 -- forward_compute_time=39.418, backward_compute_time=0.000, activation_size=26214400, parameter_size=81971200
node188 -- Conv1D: 5-124 -- forward_compute_time=43.139, backward_compute_time=0.000, activation_size=6553600, parameter_size=81932800
node189 -- LayerNorm: 4-125 -- forward_compute_time=75.913, backward_compute_time=0.000, activation_size=6553600, parameter_size=25600
node190 -- Conv1D: 5-125 -- forward_compute_time=31.807, backward_compute_time=0.000, activation_size=19660800, parameter_size=61478400
node191 -- Conv1D: 5-126 -- forward_compute_time=22.306, backward_compute_time=0.000, activation_size=6553600, parameter_size=20492800
node192 -- LayerNorm: 4-127 -- forward_compute_time=73.86, backward_compute_time=0.000, activation_size=6553600, parameter_size=25600
node193 -- Conv1D: 5-127 -- forward_compute_time=39.379, backward_compute_time=0.000, activation_size=26214400, parameter_size=81971200
node194 -- Conv1D: 5-128 -- forward_compute_time=43.596, backward_compute_time=0.000, activation_size=6553600, parameter_size=81932800
node195 -- LayerNorm: 4-129 -- forward_compute_time=74.106, backward_compute_time=0.000, activation_size=6553600, parameter_size=25600
node196 -- Conv1D: 5-129 -- forward_compute_time=36.865, backward_compute_time=0.000, activation_size=19660800, parameter_size=61478400
node197 -- Conv1D: 5-130 -- forward_compute_time=21.919, backward_compute_time=0.000, activation_size=6553600, parameter_size=20492800
node198 -- LayerNorm: 4-131 -- forward_compute_time=73.58, backward_compute_time=0.000, activation_size=6553600, parameter_size=25600
node199 -- Conv1D: 5-131 -- forward_compute_time=66.544, backward_compute_time=0.000, activation_size=26214400, parameter_size=81971200
node200 -- Conv1D: 5-132 -- forward_compute_time=43.486, backward_compute_time=0.000, activation_size=6553600, parameter_size=81932800
node201 -- LayerNorm: 4-133 -- forward_compute_time=75.865, backward_compute_time=0.000, activation_size=6553600, parameter_size=25600
node202 -- Conv1D: 5-133 -- forward_compute_time=31.803, backward_compute_time=0.000, activation_size=19660800, parameter_size=61478400
node203 -- Conv1D: 5-134 -- forward_compute_time=21.89, backward_compute_time=0.000, activation_size=6553600, parameter_size=20492800
node204 -- LayerNorm: 4-135 -- forward_compute_time=80.462, backward_compute_time=0.000, activation_size=6553600, parameter_size=25600
node205 -- Conv1D: 5-135 -- forward_compute_time=43.381, backward_compute_time=0.000, activation_size=26214400, parameter_size=81971200
node206 -- Conv1D: 5-136 -- forward_compute_time=40.496, backward_compute_time=0.000, activation_size=6553600, parameter_size=81932800
node207 -- LayerNorm: 4-137 -- forward_compute_time=78.634, backward_compute_time=0.000, activation_size=6553600, parameter_size=25600
node208 -- Conv1D: 5-137 -- forward_compute_time=31.948, backward_compute_time=0.000, activation_size=19660800, parameter_size=61478400
node209 -- Conv1D: 5-138 -- forward_compute_time=21.993, backward_compute_time=0.000, activation_size=6553600, parameter_size=20492800
node210 -- LayerNorm: 4-139 -- forward_compute_time=76.192, backward_compute_time=0.000, activation_size=6553600, parameter_size=25600
node211 -- Conv1D: 5-139 -- forward_compute_time=41.583, backward_compute_time=0.000, activation_size=26214400, parameter_size=81971200
node212 -- Conv1D: 5-140 -- forward_compute_time=41.221, backward_compute_time=0.000, activation_size=6553600, parameter_size=81932800
node213 -- LayerNorm: 4-141 -- forward_compute_time=76.437, backward_compute_time=0.000, activation_size=6553600, parameter_size=25600
node214 -- Conv1D: 5-141 -- forward_compute_time=34.459, backward_compute_time=0.000, activation_size=19660800, parameter_size=61478400
node215 -- Conv1D: 5-142 -- forward_compute_time=24.422, backward_compute_time=0.000, activation_size=6553600, parameter_size=20492800
node216 -- LayerNorm: 4-143 -- forward_compute_time=76.113, backward_compute_time=0.000, activation_size=6553600, parameter_size=25600
node217 -- Conv1D: 5-143 -- forward_compute_time=39.281, backward_compute_time=0.000, activation_size=26214400, parameter_size=81971200
node218 -- Conv1D: 5-144 -- forward_compute_time=41.115, backward_compute_time=0.000, activation_size=6553600, parameter_size=81932800
node219 -- LayerNorm: 4-145 -- forward_compute_time=74.091, backward_compute_time=0.000, activation_size=6553600, parameter_size=25600
node220 -- Conv1D: 5-145 -- forward_compute_time=32.59, backward_compute_time=0.000, activation_size=19660800, parameter_size=61478400
node221 -- Conv1D: 5-146 -- forward_compute_time=22.73, backward_compute_time=0.000, activation_size=6553600, parameter_size=20492800
node222 -- LayerNorm: 4-147 -- forward_compute_time=77.072, backward_compute_time=0.000, activation_size=6553600, parameter_size=25600
node223 -- Conv1D: 5-147 -- forward_compute_time=39.83, backward_compute_time=0.000, activation_size=26214400, parameter_size=81971200
node224 -- Conv1D: 5-148 -- forward_compute_time=40.959, backward_compute_time=0.000, activation_size=6553600, parameter_size=81932800
node225 -- LayerNorm: 4-149 -- forward_compute_time=81.835, backward_compute_time=0.000, activation_size=6553600, parameter_size=25600
node226 -- Conv1D: 5-149 -- forward_compute_time=32.658, backward_compute_time=0.000, activation_size=19660800, parameter_size=61478400
node227 -- Conv1D: 5-150 -- forward_compute_time=24.491, backward_compute_time=0.000, activation_size=6553600, parameter_size=20492800
node228 -- LayerNorm: 4-151 -- forward_compute_time=73.74, backward_compute_time=0.000, activation_size=6553600, parameter_size=25600
