Module          | Self CPU total | CPU total | Self CUDA total | CUDA total | Number of Calls
│││├── attn     |                |           |                 |            |
││││├── c_attn  | 53.762ms       | 60.680ms  | 15.089ms        | 15.089ms   | 512
││││└── c_proj  | 51.662ms       | 56.992ms  | 14.255ms        | 14.255ms   | 512
│││├── ln_2     | 143.626ms      | 169.063ms | 78.143ms        | 83.037ms   | 512
│││├── mlp      |                |           |                 |            |
││││├── c_fc    | 69.403ms       | 75.998ms  | 17.528ms        | 17.528ms   | 512
││││└── c_proj  | 69.795ms       | 75.471ms  | 24.301ms        | 24.301ms   | 512
││├── 7         |                |           |                 |            |
│││├── ln_1     | 144.709ms      | 170.268ms | 82.839ms        | 87.732ms   | 512
│││├── attn     |                |           |                 |            |
││││├── c_attn  | 52.182ms       | 58.715ms  | 17.506ms        | 17.506ms   | 512
││││└── c_proj  | 52.579ms       | 57.942ms  | 14.345ms        | 14.345ms   | 512
│││├── ln_2     | 144.018ms      | 169.529ms | 94.765ms        | 102.047ms  | 512
│││├── mlp      |                |           |                 |            |
││││├── c_fc    | 69.338ms       | 75.911ms  | 19.909ms        | 19.909ms   | 512
││││└── c_proj  | 69.484ms       | 75.081ms  | 21.846ms        | 21.846ms   | 512
││├── 8         |                |           |                 |            |
│││├── ln_1     | 143.166ms      | 168.482ms | 78.060ms        | 82.964ms   | 512
│││├── attn     |                |           |                 |            |
││││├── c_attn  | 52.296ms       | 58.894ms  | 19.817ms        | 19.817ms   | 512
││││└── c_proj  | 50.513ms       | 55.727ms  | 14.231ms        | 14.231ms   | 512
│││├── ln_2     | 146.071ms      | 171.512ms | 92.117ms        | 99.390ms   | 512
│││├── mlp      |                |           |                 |            |
││││├── c_fc    | 68.600ms       | 75.136ms  | 17.469ms        | 17.469ms   | 512
││││└── c_proj  | 69.101ms       | 74.684ms  | 19.309ms        | 19.309ms   | 512
││├── 9         |                |           |                 |            |
│││├── ln_1     | 144.291ms      | 169.737ms | 75.658ms        | 80.544ms   | 512
│││├── attn     |                |           |                 |            |
││││├── c_attn  | 52.643ms       | 59.312ms  | 19.912ms        | 19.912ms   | 512
││││└── c_proj  | 50.681ms       | 55.920ms  | 11.803ms        | 11.803ms   | 512
│││├── ln_2     | 144.817ms      | 170.574ms | 92.311ms        | 99.620ms   | 512
│││├── mlp      |                |           |                 |            |
││││├── c_fc    | 69.653ms       | 76.288ms  | 22.291ms        | 22.291ms   | 512
││││└── c_proj  | 69.588ms       | 75.215ms  | 21.717ms        | 21.717ms   | 512
││├── 10        |                |           |                 |            |
│││├── ln_1     | 144.291ms      | 169.766ms | 84.940ms        | 94.589ms   | 512
│││├── attn     |                |           |                 |            |
││││├── c_attn  | 53.070ms       | 59.733ms  | 14.995ms        | 14.995ms   | 512
││││└── c_proj  | 50.544ms       | 55.761ms  | 14.267ms        | 14.267ms   | 512
│││├── ln_2     | 142.302ms      | 167.443ms | 92.330ms        | 99.610ms   | 512
│││├── mlp      |                |           |                 |            |
││││├── c_fc    | 72.795ms       | 79.432ms  | 19.900ms        | 19.900ms   | 512
││││└── c_proj  | 69.301ms       | 74.943ms  | 19.287ms        | 19.287ms   | 512
││└── 11        |                |           |                 |            |
││ ├── ln_1     | 143.104ms      | 168.356ms | 78.039ms        | 82.930ms   | 512
││ ├── attn     |                |           |                 |            |
││ │├── c_attn  | 52.521ms       | 59.472ms  | 17.448ms        | 17.448ms   | 512
││ │└── c_proj  | 51.254ms       | 56.651ms  | 11.883ms        | 11.883ms   | 512
││ ├── ln_2     | 143.262ms      | 168.710ms | 73.192ms        | 78.081ms   | 512
││ └── mlp      |                |           |                 |            |
││  ├── c_fc    | 69.529ms       | 76.250ms  | 17.584ms        | 17.584ms   | 512
││  └── c_proj  | 69.616ms       | 75.261ms  | 21.955ms        | 21.955ms   | 512
│└── ln_f       | 144.517ms      | 170.021ms | 87.611ms        | 92.507ms   | 512
└── lm_head     |                |           |                 |            |
 └── decoder    | 58.053ms       | 153.672ms | 108.278ms       | 317.321ms  | 512
