Module          | Self CPU total | CPU total | Self CUDA total | CUDA total | Number of Calls
││├── 6         |                |           |                 |            |                
│││├── ln_1     | 124.880ms      | 146.469ms | 76.144ms        | 81.047ms   | 512            
│││├── attn     |                |           |                 |            |                
││││├── c_attn  | 40.876ms       | 46.956ms  | 44.879ms        | 44.879ms   | 512            
││││└── c_proj  | 46.214ms       | 51.207ms  | 26.945ms        | 26.945ms   | 512            
│││├── ln_2     | 124.559ms      | 146.061ms | 73.710ms        | 78.616ms   | 512            
│││├── mlp      |                |           |                 |            |                
││││├── c_fc    | 51.420ms       | 57.510ms  | 51.659ms        | 51.659ms   | 512            
││││└── c_proj  | 47.453ms       | 52.712ms  | 49.015ms        | 49.015ms   | 512            
││├── 7         |                |           |                 |            |                
│││├── ln_1     | 124.378ms      | 145.801ms | 73.750ms        | 78.655ms   | 512            
│││├── attn     |                |           |                 |            |                
││││├── c_attn  | 40.576ms       | 46.659ms  | 44.906ms        | 44.906ms   | 512            
││││└── c_proj  | 46.279ms       | 51.363ms  | 27.307ms        | 27.307ms   | 512            
│││├── ln_2     | 124.266ms      | 145.479ms | 73.707ms        | 78.614ms   | 512            
│││├── mlp      |                |           |                 |            |                
││││├── c_fc    | 50.979ms       | 57.004ms  | 51.686ms        | 51.686ms   | 512            
││││└── c_proj  | 47.298ms       | 52.579ms  | 48.827ms        | 48.827ms   | 512            
││├── 8         |                |           |                 |            |                
│││├── ln_1     | 123.822ms      | 145.184ms | 73.751ms        | 78.659ms   | 512            
│││├── attn     |                |           |                 |            |                
││││├── c_attn  | 40.164ms       | 46.148ms  | 44.998ms        | 44.998ms   | 512            
││││└── c_proj  | 45.949ms       | 50.909ms  | 27.063ms        | 27.063ms   | 512            
│││├── ln_2     | 126.748ms      | 148.128ms | 78.492ms        | 83.398ms   | 512            
│││├── mlp      |                |           |                 |            |                
││││├── c_fc    | 51.106ms       | 57.213ms  | 53.847ms        | 53.847ms   | 512            
││││└── c_proj  | 47.334ms       | 52.561ms  | 49.134ms        | 49.134ms   | 512            
││├── 9         |                |           |                 |            |                
│││├── ln_1     | 123.889ms      | 145.220ms | 76.165ms        | 81.073ms   | 512            
│││├── attn     |                |           |                 |            |                
││││├── c_attn  | 40.498ms       | 46.583ms  | 44.830ms        | 44.830ms   | 512            
││││└── c_proj  | 46.160ms       | 51.192ms  | 27.093ms        | 27.093ms   | 512            
│││├── ln_2     | 123.595ms      | 144.657ms | 73.704ms        | 78.604ms   | 512            
│││├── mlp      |                |           |                 |            |                
││││├── c_fc    | 57.413ms       | 63.479ms  | 56.430ms        | 56.430ms   | 512            
││││└── c_proj  | 47.530ms       | 52.867ms  | 48.671ms        | 48.671ms   | 512            
││├── 10        |                |           |                 |            |                
│││├── ln_1     | 123.868ms      | 145.212ms | 73.832ms        | 78.740ms   | 512            
│││├── attn     |                |           |                 |            |                
││││├── c_attn  | 40.428ms       | 46.578ms  | 44.975ms        | 44.975ms   | 512            
││││└── c_proj  | 46.381ms       | 51.787ms  | 26.962ms        | 26.962ms   | 512            
│││├── ln_2     | 128.840ms      | 150.711ms | 80.601ms        | 85.506ms   | 512            
│││├── mlp      |                |           |                 |            |                
││││├── c_fc    | 51.069ms       | 57.139ms  | 51.631ms        | 51.631ms   | 512            
││││└── c_proj  | 47.287ms       | 52.550ms  | 48.734ms        | 48.734ms   | 512            
││├── 11        |                |           |                 |            |                
│││├── ln_1     | 123.829ms      | 145.125ms | 76.149ms        | 83.444ms   | 512            
│││├── attn     |                |           |                 |            |                
││││├── c_attn  | 40.488ms       | 46.554ms  | 47.300ms        | 47.300ms   | 512            
││││└── c_proj  | 46.073ms       | 51.076ms  | 26.692ms        | 26.692ms   | 512            
│││├── ln_2     | 128.922ms      | 150.038ms | 80.327ms        | 85.235ms   | 512            
│││├── mlp      |                |           |                 |            |                
││││├── c_fc    | 51.986ms       | 58.484ms  | 53.876ms        | 53.876ms   | 512            
││││└── c_proj  | 47.397ms       | 52.706ms  | 51.292ms        | 51.292ms   | 512            
││├── 12        |                |           |                 |            |                
│││├── ln_1     | 123.985ms      | 145.338ms | 73.791ms        | 78.702ms   | 512            
│││├── attn     |                |           |                 |            |                
││││├── c_attn  | 40.459ms       | 46.487ms  | 45.084ms        | 45.084ms   | 512            
││││└── c_proj  | 46.528ms       | 51.465ms  | 26.788ms        | 26.788ms   | 512            
│││├── ln_2     | 123.788ms      | 145.104ms | 76.095ms        | 81.000ms   | 512            
│││├── mlp      |                |           |                 |            |                
││││├── c_fc    | 51.026ms       | 57.083ms  | 51.460ms        | 51.460ms   | 512            
││││└── c_proj  | 47.243ms       | 52.469ms  | 48.677ms        | 48.677ms   | 512            
││├── 13        |                |           |                 |            |                
│││├── ln_1     | 152.107ms      | 201.761ms | 103.457ms       | 138.031ms  | 512            
│││├── attn     |                |           |                 |            |                
││││├── c_attn  | 40.549ms       | 46.641ms  | 49.750ms        | 49.750ms   | 512            
││││└── c_proj  | 45.937ms       | 50.925ms  | 27.044ms        | 27.044ms   | 512            
│││├── ln_2     | 124.060ms      | 145.152ms | 76.136ms        | 81.051ms   | 512            
│││├── mlp      |                |           |                 |            |                
││││├── c_fc    | 53.876ms       | 59.931ms  | 53.978ms        | 53.978ms   | 512            
││││└── c_proj  | 47.444ms       | 52.738ms  | 48.999ms        | 48.999ms   | 512            
││├── 14        |                |           |                 |            |                
│││├── ln_1     | 123.856ms      | 145.202ms | 73.793ms        | 78.698ms   | 512            
│││├── attn     |                |           |                 |            |                
││││├── c_attn  | 40.246ms       | 46.256ms  | 44.942ms        | 44.942ms   | 512            
││││└── c_proj  | 46.029ms       | 51.196ms  | 27.070ms        | 27.070ms   | 512            
│││├── ln_2     | 123.797ms      | 145.139ms | 78.521ms        | 83.427ms   | 512            
│││├── mlp      |                |           |                 |            |                
││││├── c_fc    | 51.911ms       | 58.480ms  | 53.759ms        | 53.759ms   | 512            
││││└── c_proj  | 47.322ms       | 52.567ms  | 48.513ms        | 48.513ms   | 512            
││├── 15        |                |           |                 |            |                
│││├── ln_1     | 123.760ms      | 145.027ms | 73.837ms        | 78.742ms   | 512            
│││├── attn     |                |           |                 |            |                
││││├── c_attn  | 40.884ms       | 46.976ms  | 47.339ms        | 47.339ms   | 512            
││││└── c_proj  | 46.077ms       | 51.147ms  | 26.824ms        | 26.824ms   | 512            
│││├── ln_2     | 123.604ms      | 144.661ms | 73.674ms        | 78.579ms   | 512            
│││├── mlp      |                |           |                 |            |                
││││├── c_fc    | 51.070ms       | 57.154ms  | 51.685ms        | 51.685ms   | 512            
││││└── c_proj  | 47.328ms       | 52.669ms  | 49.109ms        | 49.109ms   | 512            
││├── 16        |                |           |                 |            |                
│││├── ln_1     | 123.767ms      | 145.045ms | 73.744ms        | 78.650ms   | 512            
│││├── attn     |                |           |                 |            |                
││││├── c_attn  | 40.331ms       | 46.593ms  | 44.987ms        | 44.987ms   | 512            
││││└── c_proj  | 45.845ms       | 50.770ms  | 26.637ms        | 26.637ms   | 512            
│││├── ln_2     | 123.898ms      | 145.225ms | 73.738ms        | 78.645ms   | 512            
│││├── mlp      |                |           |                 |            |                
││││├── c_fc    | 51.175ms       | 57.267ms  | 51.745ms        | 51.745ms   | 512            
││││└── c_proj  | 47.332ms       | 52.595ms  | 49.082ms        | 49.082ms   | 512            
││├── 17        |                |           |                 |            |                
│││├── ln_1     | 123.794ms      | 145.105ms | 73.761ms        | 78.668ms   | 512            
│││├── attn     |                |           |                 |            |                
││││├── c_attn  | 40.511ms       | 46.660ms  | 47.387ms        | 47.387ms   | 512            
││││└── c_proj  | 46.045ms       | 51.053ms  | 27.062ms        | 27.062ms   | 512            
│││├── ln_2     | 123.777ms      | 144.889ms | 73.723ms        | 78.629ms   | 512            
│││├── mlp      |                |           |                 |            |                
││││├── c_fc    | 51.012ms       | 57.050ms  | 51.595ms        | 51.595ms   | 512            
││││└── c_proj  | 47.307ms       | 52.581ms  | 48.847ms        | 48.847ms   | 512            
││├── 18        |                |           |                 |            |                
│││├── ln_1     | 123.928ms      | 145.208ms | 73.898ms        | 78.813ms   | 512            
│││├── attn     |                |           |                 |            |                
││││├── c_attn  | 40.325ms       | 46.372ms  | 44.849ms        | 44.849ms   | 512            
││││└── c_proj  | 45.856ms       | 50.797ms  | 26.859ms        | 26.859ms   | 512            
│││├── ln_2     | 123.723ms      | 145.034ms | 73.840ms        | 78.755ms   | 512            
│││├── mlp      |                |           |                 |            |                
││││├── c_fc    | 50.959ms       | 57.012ms  | 54.163ms        | 54.163ms   | 512            
││││└── c_proj  | 47.224ms       | 52.457ms  | 48.920ms        | 48.920ms   | 512            
││├── 19        |                |           |                 |            |                
│││├── ln_1     | 123.603ms      | 144.822ms | 73.886ms        | 78.797ms   | 512            
│││├── attn     |                |           |                 |            |                
││││├── c_attn  | 40.261ms       | 46.298ms  | 44.900ms        | 44.900ms   | 512            
││││└── c_proj  | 45.995ms       | 51.020ms  | 26.999ms        | 26.999ms   | 512            
│││├── ln_2     | 123.677ms      | 144.763ms | 76.320ms        | 83.634ms   | 512            
│││├── mlp      |                |           |                 |            |                
││││├── c_fc    | 51.137ms       | 57.206ms  | 51.840ms        | 51.840ms   | 512            
││││└── c_proj  | 47.246ms       | 52.538ms  | 48.970ms        | 48.970ms   | 512            
││├── 20        |                |           |                 |            |                
│││├── ln_1     | 123.731ms      | 145.032ms | 73.872ms        | 78.782ms   | 512            
│││├── attn     |                |           |                 |            |                
││││├── c_attn  | 40.464ms       | 46.544ms  | 45.047ms        | 45.047ms   | 512            
││││└── c_proj  | 46.198ms       | 51.155ms  | 26.906ms        | 26.906ms   | 512            
│││├── ln_2     | 123.774ms      | 145.102ms | 76.220ms        | 81.136ms   | 512            
│││├── mlp      |                |           |                 |            |                
││││├── c_fc    | 51.838ms       | 58.355ms  | 51.958ms        | 51.958ms   | 512            
││││└── c_proj  | 47.269ms       | 52.526ms  | 49.420ms        | 49.420ms   | 512            
││├── 21        |                |           |                 |            |                
│││├── ln_1     | 123.752ms      | 145.074ms | 73.875ms        | 78.782ms   | 512            
│││├── attn     |                |           |                 |            |                
││││├── c_attn  | 41.203ms       | 47.262ms  | 44.976ms        | 44.976ms   | 512            
││││└── c_proj  | 46.101ms       | 51.162ms  | 26.991ms        | 26.991ms   | 512            
│││├── ln_2     | 123.628ms      | 144.707ms | 78.602ms        | 83.515ms   | 512            
│││├── mlp      |                |           |                 |            |                
││││├── c_fc    | 51.089ms       | 57.340ms  | 52.091ms        | 52.091ms   | 512            
││││└── c_proj  | 47.423ms       | 52.747ms  | 51.295ms        | 51.295ms   | 512            
││├── 22        |                |           |                 |            |                
│││├── ln_1     | 124.314ms      | 145.664ms | 73.888ms        | 78.803ms   | 512            
│││├── attn     |                |           |                 |            |                
││││├── c_attn  | 41.292ms       | 47.319ms  | 49.701ms        | 49.701ms   | 512            
││││└── c_proj  | 45.986ms       | 50.964ms  | 27.144ms        | 27.144ms   | 512            
│││├── ln_2     | 123.930ms      | 145.323ms | 73.816ms        | 78.733ms   | 512            
│││├── mlp      |                |           |                 |            |                
││││├── c_fc    | 51.616ms       | 58.138ms  | 54.213ms        | 54.213ms   | 512            
││││└── c_proj  | 47.345ms       | 52.628ms  | 48.897ms        | 48.897ms   | 512            
││├── 23        |                |           |                 |            |                
│││├── ln_1     | 123.753ms      | 145.088ms | 76.275ms        | 81.189ms   | 512            
│││├── attn     |                |           |                 |            |                
││││├── c_attn  | 40.436ms       | 46.546ms  | 45.065ms        | 45.065ms   | 512            
││││└── c_proj  | 46.137ms       | 51.207ms  | 26.859ms        | 26.859ms   | 512            
│││├── ln_2     | 123.683ms      | 144.800ms | 73.838ms        | 78.755ms   | 512            
│││├── mlp      |                |           |                 |            |                
││││├── c_fc    | 51.112ms       | 57.170ms  | 54.226ms        | 54.226ms   | 512            
││││└── c_proj  | 47.467ms       | 52.805ms  | 48.806ms        | 48.806ms   | 512            
││├── 24        |                |           |                 |            |                
│││├── ln_1     | 128.541ms      | 149.922ms | 80.529ms        | 85.442ms   | 512            
│││├── attn     |                |           |                 |            |                
││││├── c_attn  | 40.608ms       | 46.684ms  | 44.966ms        | 44.966ms   | 512            
││││└── c_proj  | 46.043ms       | 50.987ms  | 26.618ms        | 26.618ms   | 512            
│││├── ln_2     | 123.839ms      | 145.205ms | 73.867ms        | 78.781ms   | 512            
│││├── mlp      |                |           |                 |            |                
││││├── c_fc    | 51.087ms       | 57.176ms  | 51.432ms        | 51.432ms   | 512            
││││└── c_proj  | 47.435ms       | 52.692ms  | 49.378ms        | 49.378ms   | 512            
││├── 25        |                |           |                 |            |                
│││├── ln_1     | 123.774ms      | 145.056ms | 78.579ms        | 83.488ms   | 512            
│││├── attn     |                |           |                 |            |                
││││├── c_attn  | 40.582ms       | 46.719ms  | 45.182ms        | 45.182ms   | 512            
││││└── c_proj  | 45.906ms       | 50.912ms  | 29.383ms        | 29.383ms   | 512            
│││├── ln_2     | 123.739ms      | 144.904ms | 78.509ms        | 83.417ms   | 512            
│││├── mlp      |                |           |                 |            |                
││││├── c_fc    | 51.461ms       | 57.556ms  | 53.992ms        | 53.992ms   | 512            
││││└── c_proj  | 47.363ms       | 52.687ms  | 48.905ms        | 48.905ms   | 512            
││├── 26        |                |           |                 |            |                
│││├── ln_1     | 125.000ms      | 146.749ms | 78.563ms        | 83.469ms   | 512            
│││├── attn     |                |           |                 |            |                
││││├── c_attn  | 40.435ms       | 46.468ms  | 45.030ms        | 45.030ms   | 512            
││││└── c_proj  | 45.954ms       | 50.908ms  | 26.684ms        | 26.684ms   | 512            
│││├── ln_2     | 123.693ms      | 145.057ms | 73.727ms        | 78.639ms   | 512            
│││├── mlp      |                |           |                 |            |                
││││├── c_fc    | 51.031ms       | 57.291ms  | 51.621ms        | 51.621ms   | 512            
││││└── c_proj  | 47.336ms       | 52.639ms  | 48.937ms        | 48.937ms   | 512            
││├── 27        |                |           |                 |            |                
│││├── ln_1     | 123.700ms      | 144.994ms | 78.531ms        | 83.431ms   | 512            
│││├── attn     |                |           |                 |            |                
││││├── c_attn  | 40.933ms       | 47.058ms  | 47.371ms        | 47.371ms   | 512            
││││└── c_proj  | 45.971ms       | 51.045ms  | 26.899ms        | 26.899ms   | 512            
│││├── ln_2     | 123.474ms      | 144.567ms | 73.715ms        | 78.619ms   | 512            
│││├── mlp      |                |           |                 |            |                
││││├── c_fc    | 51.340ms       | 57.447ms  | 51.736ms        | 51.736ms   | 512            
││││└── c_proj  | 47.353ms       | 52.654ms  | 48.709ms        | 48.709ms   | 512            
││├── 28        |                |           |                 |            |                
│││├── ln_1     | 126.803ms      | 148.155ms | 73.799ms        | 78.710ms   | 512            
│││├── attn     |                |           |                 |            |                
││││├── c_attn  | 40.428ms       | 46.484ms  | 47.304ms        | 47.304ms   | 512            
││││└── c_proj  | 46.002ms       | 50.978ms  | 26.939ms        | 26.939ms   | 512            
│││├── ln_2     | 123.694ms      | 145.040ms | 73.726ms        | 78.638ms   | 512            
│││├── mlp      |                |           |                 |            |                
││││├── c_fc    | 51.097ms       | 57.216ms  | 51.554ms        | 51.554ms   | 512            
││││└── c_proj  | 47.369ms       | 52.646ms  | 49.159ms        | 49.159ms   | 512            
││├── 29        |                |           |                 |            |                
│││├── ln_1     | 123.756ms      | 145.056ms | 78.550ms        | 85.851ms   | 512            
│││├── attn     |                |           |                 |            |                
││││├── c_attn  | 40.280ms       | 46.367ms  | 44.742ms        | 44.742ms   | 512            
││││└── c_proj  | 46.224ms       | 51.283ms  | 26.841ms        | 26.841ms   | 512            
│││├── ln_2     | 123.896ms      | 145.130ms | 73.700ms        | 78.613ms   | 512            
│││├── mlp      |                |           |                 |            |                
││││├── c_fc    | 51.037ms       | 57.092ms  | 51.588ms        | 51.588ms   | 512            
││││└── c_proj  | 47.334ms       | 52.650ms  | 48.921ms        | 48.921ms   | 512            
││├── 30        |                |           |                 |            |                
│││├── ln_1     | 123.931ms      | 145.322ms | 73.911ms        | 78.828ms   | 512            
│││├── attn     |                |           |                 |            |                
││││├── c_attn  | 41.613ms       | 48.098ms  | 47.537ms        | 47.537ms   | 512            
││││└── c_proj  | 46.030ms       | 50.997ms  | 26.680ms        | 26.680ms   | 512            
│││├── ln_2     | 124.323ms      | 145.805ms | 73.742ms        | 78.651ms   | 512            
│││├── mlp      |                |           |                 |            |                
││││├── c_fc    | 51.243ms       | 57.351ms  | 51.524ms        | 51.524ms   | 512            
││││└── c_proj  | 47.398ms       | 52.662ms  | 48.914ms        | 48.914ms   | 512            
││├── 31        |                |           |                 |            |                
│││├── ln_1     | 123.892ms      | 145.242ms | 73.788ms        | 78.691ms   | 512            
│││├── attn     |                |           |                 |            |                
││││├── c_attn  | 40.660ms       | 46.753ms  | 44.969ms        | 44.969ms   | 512            
││││└── c_proj  | 46.214ms       | 51.334ms  | 27.117ms        | 27.117ms   | 512            
│││├── ln_2     | 123.850ms      | 145.025ms | 73.739ms        | 78.642ms   | 512            
│││├── mlp      |                |           |                 |            |                
││││├── c_fc    | 51.305ms       | 57.651ms  | 53.937ms        | 53.937ms   | 512            
││││└── c_proj  | 50.334ms       | 55.640ms  | 48.848ms        | 48.848ms   | 512            
││├── 32        |                |           |                 |            |                
│││├── ln_1     | 123.880ms      | 145.270ms | 73.753ms        | 78.658ms   | 512            
│││├── attn     |                |           |                 |            |                
││││├── c_attn  | 40.427ms       | 46.490ms  | 44.968ms        | 44.968ms   | 512            
││││└── c_proj  | 48.737ms       | 53.712ms  | 31.297ms        | 31.297ms   | 512            
│││├── ln_2     | 123.988ms      | 145.418ms | 76.093ms        | 83.386ms   | 512            
│││├── mlp      |                |           |                 |            |                
││││├── c_fc    | 52.976ms       | 60.902ms  | 54.140ms        | 54.140ms   | 512            
││││└── c_proj  | 48.405ms       | 54.181ms  | 49.235ms        | 49.235ms   | 512            
││├── 33        |                |           |                 |            |                
│││├── ln_1     | 124.683ms      | 145.963ms | 78.503ms        | 83.405ms   | 512            
│││├── attn     |                |           |                 |            |                
││││├── c_attn  | 40.337ms       | 46.438ms  | 44.986ms        | 44.986ms   | 512            
││││└── c_proj  | 46.036ms       | 51.118ms  | 27.148ms        | 27.148ms   | 512            
│││├── ln_2     | 123.829ms      | 145.005ms | 73.584ms        | 78.483ms   | 512            
│││├── mlp      |                |           |                 |            |                
││││├── c_fc    | 51.047ms       | 57.090ms  | 51.400ms        | 51.400ms   | 512            
││││└── c_proj  | 47.866ms       | 53.230ms  | 49.326ms        | 49.326ms   | 512            
││├── 34        |                |           |                 |            |                
│││├── ln_1     | 124.080ms      | 145.464ms | 76.069ms        | 80.972ms   | 512            
│││├── attn     |                |           |                 |            |                
││││├── c_attn  | 40.468ms       | 46.565ms  | 44.786ms        | 44.786ms   | 512            
││││└── c_proj  | 46.207ms       | 51.203ms  | 26.670ms        | 26.670ms   | 512            
│││├── ln_2     | 125.322ms      | 146.747ms | 75.993ms        | 80.893ms   | 512            
│││├── mlp      |                |           |                 |            |                
││││├── c_fc    | 51.145ms       | 57.211ms  | 51.500ms        | 51.500ms   | 512            
││││└── c_proj  | 47.448ms       | 52.729ms  | 48.830ms        | 48.830ms   | 512            
││├── 35        |                |           |                 |            |                
│││├── ln_1     | 123.696ms      | 144.999ms | 78.434ms        | 83.334ms   | 512            
│││├── attn     |                |           |                 |            |                
││││├── c_attn  | 40.376ms       | 46.487ms  | 44.910ms        | 44.910ms   | 512            
││││└── c_proj  | 46.292ms       | 51.383ms  | 27.216ms        | 27.216ms   | 512            
│││├── ln_2     | 126.164ms      | 147.572ms | 76.033ms        | 80.931ms   | 512            
│││├── mlp      |                |           |                 |            |                
││││├── c_fc    | 51.057ms       | 57.147ms  | 51.682ms        | 51.682ms   | 512            
││││└── c_proj  | 47.426ms       | 52.775ms  | 48.781ms        | 48.781ms   | 512            
││├── 36        |                |           |                 |            |                
│││├── ln_1     | 123.831ms      | 145.195ms | 73.653ms        | 78.553ms   | 512            
│││├── attn     |                |           |                 |            |                
││││├── c_attn  | 43.389ms       | 49.430ms  | 49.244ms        | 49.244ms   | 512            
││││└── c_proj  | 46.908ms       | 51.912ms  | 26.530ms        | 26.530ms   | 512            
│││├── ln_2     | 124.058ms      | 145.526ms | 76.022ms        | 80.923ms   | 512            
│││├── mlp      |                |           |                 |            |                
││││├── c_fc    | 51.154ms       | 57.322ms  | 56.466ms        | 56.466ms   | 512            
││││└── c_proj  | 48.190ms       | 53.467ms  | 48.695ms        | 48.695ms   | 512            
││├── 37        |                |           |                 |            |                
│││├── ln_1     | 123.842ms      | 145.185ms | 73.665ms        | 78.563ms   | 512            
│││├── attn     |                |           |                 |            |                
││││├── c_attn  | 40.467ms       | 46.576ms  | 44.933ms        | 44.933ms   | 512            
││││└── c_proj  | 46.073ms       | 51.168ms  | 26.730ms        | 26.730ms   | 512            
│││├── ln_2     | 151.350ms      | 172.510ms | 101.380ms       | 106.288ms  | 512            
│││├── mlp      |                |           |                 |            |                
││││├── c_fc    | 51.300ms       | 57.412ms  | 52.016ms        | 52.016ms   | 512            
││││└── c_proj  | 47.471ms       | 52.812ms  | 49.555ms        | 49.555ms   | 512            
││├── 38        |                |           |                 |            |                
│││├── ln_1     | 123.771ms      | 145.133ms | 76.168ms        | 81.077ms   | 512            
│││├── attn     |                |           |                 |            |                
││││├── c_attn  | 40.519ms       | 46.602ms  | 44.864ms        | 44.864ms   | 512            
││││└── c_proj  | 46.039ms       | 51.048ms  | 26.676ms        | 26.676ms   | 512            
│││├── ln_2     | 123.870ms      | 145.319ms | 76.144ms        | 81.054ms   | 512            
│││├── mlp      |                |           |                 |            |                
││││├── c_fc    | 51.388ms       | 57.553ms  | 51.776ms        | 51.776ms   | 512            
││││└── c_proj  | 47.444ms       | 52.744ms  | 49.174ms        | 49.174ms   | 512            
││├── 39        |                |           |                 |            |                
│││├── ln_1     | 124.832ms      | 146.197ms | 76.173ms        | 81.084ms   | 512            
│││├── attn     |                |           |                 |            |                
││││├── c_attn  | 40.532ms       | 46.647ms  | 44.893ms        | 44.893ms   | 512            
││││└── c_proj  | 46.590ms       | 51.658ms  | 27.241ms        | 27.241ms   | 512            
│││├── ln_2     | 124.828ms      | 146.248ms | 73.748ms        | 78.655ms   | 512            
│││├── mlp      |                |           |                 |            |                
││││├── c_fc    | 51.222ms       | 57.329ms  | 51.741ms        | 51.741ms   | 512            
││││└── c_proj  | 47.425ms       | 52.743ms  | 49.199ms        | 49.199ms   | 512            
││├── 40        |                |           |                 |            |                
│││├── ln_1     | 123.818ms      | 145.181ms | 73.777ms        | 78.685ms   | 512            
│││├── attn     |                |           |                 |            |                
││││├── c_attn  | 40.577ms       | 46.669ms  | 44.878ms        | 44.878ms   | 512            
││││└── c_proj  | 49.860ms       | 54.886ms  | 29.119ms        | 29.119ms   | 512            
│││├── ln_2     | 124.116ms      | 145.622ms | 73.772ms        | 78.676ms   | 512            
│││├── mlp      |                |           |                 |            |                
││││├── c_fc    | 54.564ms       | 60.695ms  | 53.720ms        | 53.720ms   | 512            
││││└── c_proj  | 47.373ms       | 52.639ms  | 49.312ms        | 49.312ms   | 512            
││├── 41        |                |           |                 |            |                
│││├── ln_1     | 152.658ms      | 174.040ms | 101.417ms       | 106.322ms  | 512            
│││├── attn     |                |           |                 |            |                
││││├── c_attn  | 40.667ms       | 46.782ms  | 44.955ms        | 44.955ms   | 512            
││││└── c_proj  | 46.268ms       | 51.378ms  | 26.668ms        | 26.668ms   | 512            
