Module          | Self CPU total | CPU total | Self CUDA total | CUDA total | Number of Calls
│││├── attn     |                |           |                 |            |
││││├── c_attn  | 39.741ms       | 45.586ms  | 43.800ms        | 43.800ms   | 512
││││└── c_proj  | 45.893ms       | 50.820ms  | 26.291ms        | 26.291ms   | 512
│││├── ln_2     | 124.751ms      | 146.314ms | 73.689ms        | 78.611ms   | 512
│││├── mlp      |                |           |                 |            |
││││├── c_fc    | 55.047ms       | 60.978ms  | 52.485ms        | 52.485ms   | 512
││││└── c_proj  | 47.359ms       | 52.535ms  | 48.388ms        | 48.388ms   | 512
││├── 7         |                |           |                 |            |
│││├── ln_1     | 124.945ms      | 146.641ms | 73.696ms        | 78.611ms   | 512
│││├── attn     |                |           |                 |            |
││││├── c_attn  | 39.616ms       | 45.478ms  | 46.154ms        | 46.154ms   | 512
││││└── c_proj  | 45.790ms       | 50.781ms  | 26.370ms        | 26.370ms   | 512
│││├── ln_2     | 123.980ms      | 145.278ms | 71.569ms        | 76.486ms   | 512
│││├── mlp      |                |           |                 |            |
││││├── c_fc    | 51.786ms       | 57.678ms  | 49.569ms        | 49.569ms   | 512
││││└── c_proj  | 47.210ms       | 52.438ms  | 48.345ms        | 48.345ms   | 512
││├── 8         |                |           |                 |            |
│││├── ln_1     | 124.886ms      | 146.415ms | 71.362ms        | 76.279ms   | 512
│││├── attn     |                |           |                 |            |
││││├── c_attn  | 39.457ms       | 45.214ms  | 43.829ms        | 43.829ms   | 512
││││└── c_proj  | 45.837ms       | 50.797ms  | 26.538ms        | 26.538ms   | 512
│││├── ln_2     | 123.875ms      | 145.223ms | 71.311ms        | 76.234ms   | 512
│││├── mlp      |                |           |                 |            |
││││├── c_fc    | 51.851ms       | 58.041ms  | 50.108ms        | 50.108ms   | 512
││││└── c_proj  | 46.979ms       | 52.090ms  | 47.837ms        | 47.837ms   | 512
││├── 9         |                |           |                 |            |
│││├── ln_1     | 126.044ms      | 148.039ms | 73.696ms        | 81.014ms   | 512
│││├── attn     |                |           |                 |            |
││││├── c_attn  | 39.489ms       | 45.324ms  | 43.654ms        | 43.654ms   | 512
││││└── c_proj  | 45.677ms       | 50.665ms  | 26.417ms        | 26.417ms   | 512
│││├── ln_2     | 123.905ms      | 145.167ms | 71.622ms        | 76.554ms   | 512
│││├── mlp      |                |           |                 |            |
││││├── c_fc    | 51.682ms       | 57.545ms  | 52.336ms        | 52.336ms   | 512
││││└── c_proj  | 47.108ms       | 52.305ms  | 47.825ms        | 47.825ms   | 512
││├── 10        |                |           |                 |            |
│││├── ln_1     | 124.021ms      | 145.498ms | 73.783ms        | 78.706ms   | 512
│││├── attn     |                |           |                 |            |
││││├── c_attn  | 39.430ms       | 45.238ms  | 43.745ms        | 43.745ms   | 512
││││└── c_proj  | 45.604ms       | 50.535ms  | 26.320ms        | 26.320ms   | 512
│││├── ln_2     | 126.485ms      | 147.888ms | 73.726ms        | 78.651ms   | 512
│││├── mlp      |                |           |                 |            |
││││├── c_fc    | 51.753ms       | 57.627ms  | 49.867ms        | 49.867ms   | 512
││││└── c_proj  | 47.161ms       | 52.319ms  | 47.699ms        | 47.699ms   | 512
││├── 11        |                |           |                 |            |
│││├── ln_1     | 125.444ms      | 146.974ms | 73.694ms        | 78.609ms   | 512
│││├── attn     |                |           |                 |            |
││││├── c_attn  | 39.608ms       | 45.515ms  | 43.916ms        | 43.916ms   | 512
││││└── c_proj  | 45.865ms       | 50.827ms  | 26.226ms        | 26.226ms   | 512
│││├── ln_2     | 124.087ms      | 145.371ms | 76.371ms        | 83.683ms   | 512
│││├── mlp      |                |           |                 |            |
││││├── c_fc    | 51.940ms       | 57.841ms  | 52.255ms        | 52.255ms   | 512
││││└── c_proj  | 47.288ms       | 52.487ms  | 47.733ms        | 47.733ms   | 512
││├── 12        |                |           |                 |            |
│││├── ln_1     | 124.141ms      | 145.657ms | 71.303ms        | 76.219ms   | 512
│││├── attn     |                |           |                 |            |
││││├── c_attn  | 39.680ms       | 45.544ms  | 46.155ms        | 46.155ms   | 512
││││└── c_proj  | 45.915ms       | 50.881ms  | 26.299ms        | 26.299ms   | 512
│││├── ln_2     | 124.220ms      | 145.606ms | 76.137ms        | 83.449ms   | 512
│││├── mlp      |                |           |                 |            |
││││├── c_fc    | 52.445ms       | 58.323ms  | 49.654ms        | 49.654ms   | 512
││││└── c_proj  | 46.981ms       | 52.083ms  | 48.174ms        | 48.174ms   | 512
││├── 13        |                |           |                 |            |
│││├── ln_1     | 124.056ms      | 145.600ms | 71.317ms        | 76.234ms   | 512
│││├── attn     |                |           |                 |            |
││││├── c_attn  | 39.629ms       | 45.507ms  | 43.936ms        | 43.936ms   | 512
││││└── c_proj  | 45.758ms       | 50.704ms  | 26.781ms        | 26.781ms   | 512
│││├── ln_2     | 124.196ms      | 145.539ms | 71.616ms        | 76.537ms   | 512
│││├── mlp      |                |           |                 |            |
││││├── c_fc    | 51.714ms       | 57.599ms  | 49.822ms        | 49.822ms   | 512
││││└── c_proj  | 47.147ms       | 52.329ms  | 48.250ms        | 48.250ms   | 512
││├── 14        |                |           |                 |            |
│││├── ln_1     | 124.066ms      | 145.595ms | 71.341ms        | 76.258ms   | 512
│││├── attn     |                |           |                 |            |
││││├── c_attn  | 39.544ms       | 45.381ms  | 43.892ms        | 43.892ms   | 512
││││└── c_proj  | 45.703ms       | 50.652ms  | 26.496ms        | 26.496ms   | 512
│││├── ln_2     | 125.118ms      | 147.317ms | 76.168ms        | 81.101ms   | 512
│││├── mlp      |                |           |                 |            |
││││├── c_fc    | 51.781ms       | 57.694ms  | 51.802ms        | 51.802ms   | 512
││││└── c_proj  | 52.476ms       | 57.611ms  | 52.460ms        | 52.460ms   | 512
││├── 15        |                |           |                 |            |
│││├── ln_1     | 123.894ms      | 145.427ms | 71.195ms        | 76.104ms   | 512
│││├── attn     |                |           |                 |            |
││││├── c_attn  | 39.700ms       | 45.609ms  | 43.734ms        | 43.734ms   | 512
││││└── c_proj  | 45.709ms       | 50.698ms  | 26.722ms        | 26.722ms   | 512
│││├── ln_2     | 123.718ms      | 144.969ms | 71.486ms        | 76.415ms   | 512
│││├── mlp      |                |           |                 |            |
││││├── c_fc    | 52.167ms       | 58.107ms  | 49.494ms        | 49.494ms   | 512
││││└── c_proj  | 47.134ms       | 52.340ms  | 47.703ms        | 47.703ms   | 512
││├── 16        |                |           |                 |            |
│││├── ln_1     | 123.928ms      | 145.462ms | 71.197ms        | 76.111ms   | 512
│││├── attn     |                |           |                 |            |
││││├── c_attn  | 39.683ms       | 45.576ms  | 43.819ms        | 43.819ms   | 512
││││└── c_proj  | 45.656ms       | 50.598ms  | 26.424ms        | 26.424ms   | 512
│││├── ln_2     | 126.811ms      | 148.216ms | 73.607ms        | 78.523ms   | 512
│││├── mlp      |                |           |                 |            |
││││├── c_fc    | 52.651ms       | 58.667ms  | 52.236ms        | 52.236ms   | 512
││││└── c_proj  | 46.974ms       | 52.072ms  | 47.758ms        | 47.758ms   | 512
││├── 17        |                |           |                 |            |
│││├── ln_1     | 124.259ms      | 145.742ms | 71.228ms        | 76.144ms   | 512
│││├── attn     |                |           |                 |            |
││││├── c_attn  | 39.522ms       | 45.398ms  | 43.887ms        | 43.887ms   | 512
││││└── c_proj  | 47.047ms       | 51.998ms  | 26.227ms        | 26.227ms   | 512
│││├── ln_2     | 123.700ms      | 144.923ms | 73.913ms        | 81.213ms   | 512
│││├── mlp      |                |           |                 |            |
││││├── c_fc    | 51.699ms       | 57.571ms  | 49.793ms        | 49.793ms   | 512
││││└── c_proj  | 47.274ms       | 52.495ms  | 47.982ms        | 47.982ms   | 512
││├── 18        |                |           |                 |            |
│││├── ln_1     | 123.743ms      | 145.257ms | 71.229ms        | 76.145ms   | 512
│││├── attn     |                |           |                 |            |
││││├── c_attn  | 39.455ms       | 45.279ms  | 43.676ms        | 43.676ms   | 512
││││└── c_proj  | 45.613ms       | 50.559ms  | 26.257ms        | 26.257ms   | 512
│││├── ln_2     | 123.721ms      | 145.087ms | 71.201ms        | 76.118ms   | 512
│││├── mlp      |                |           |                 |            |
││││├── c_fc    | 51.858ms       | 57.760ms  | 49.761ms        | 49.761ms   | 512
││││└── c_proj  | 48.650ms       | 54.261ms  | 47.757ms        | 47.757ms   | 512
││├── 19        |                |           |                 |            |
│││├── ln_1     | 123.854ms      | 145.311ms | 71.218ms        | 76.126ms   | 512
│││├── attn     |                |           |                 |            |
││││├── c_attn  | 39.455ms       | 45.299ms  | 43.885ms        | 43.885ms   | 512
││││└── c_proj  | 45.897ms       | 50.906ms  | 26.347ms        | 26.347ms   | 512
│││├── ln_2     | 123.968ms      | 145.260ms | 73.841ms        | 78.757ms   | 512
│││├── mlp      |                |           |                 |            |
││││├── c_fc    | 51.676ms       | 57.563ms  | 49.609ms        | 49.609ms   | 512
││││└── c_proj  | 47.039ms       | 52.238ms  | 47.696ms        | 47.696ms   | 512
││├── 20        |                |           |                 |            |
│││├── ln_1     | 124.056ms      | 145.615ms | 71.220ms        | 76.135ms   | 512
│││├── attn     |                |           |                 |            |
││││├── c_attn  | 40.699ms       | 46.614ms  | 46.064ms        | 46.064ms   | 512
││││└── c_proj  | 45.870ms       | 50.850ms  | 26.356ms        | 26.356ms   | 512
│││├── ln_2     | 123.763ms      | 145.118ms | 71.147ms        | 76.059ms   | 512
│││├── mlp      |                |           |                 |            |
││││├── c_fc    | 51.628ms       | 57.543ms  | 54.444ms        | 54.444ms   | 512
││││└── c_proj  | 47.156ms       | 52.311ms  | 47.681ms        | 47.681ms   | 512
││├── 21        |                |           |                 |            |
│││├── ln_1     | 123.723ms      | 145.192ms | 71.074ms        | 75.978ms   | 512
│││├── attn     |                |           |                 |            |
││││├── c_attn  | 39.457ms       | 45.301ms  | 43.709ms        | 43.709ms   | 512
││││└── c_proj  | 45.864ms       | 50.872ms  | 26.685ms        | 26.685ms   | 512
│││├── ln_2     | 123.888ms      | 145.181ms | 71.532ms        | 76.448ms   | 512
│││├── mlp      |                |           |                 |            |
││││├── c_fc    | 51.823ms       | 58.086ms  | 50.020ms        | 50.020ms   | 512
││││└── c_proj  | 49.976ms       | 55.201ms  | 49.790ms        | 49.790ms   | 512
││├── 22        |                |           |                 |            |
│││├── ln_1     | 126.031ms      | 147.572ms | 76.044ms        | 80.955ms   | 512
│││├── attn     |                |           |                 |            |
││││├── c_attn  | 39.402ms       | 45.269ms  | 43.836ms        | 43.836ms   | 512
││││└── c_proj  | 46.580ms       | 51.970ms  | 29.022ms        | 29.022ms   | 512
│││├── ln_2     | 123.848ms      | 145.253ms | 76.002ms        | 83.310ms   | 512
│││├── mlp      |                |           |                 |            |
││││├── c_fc    | 51.847ms       | 57.790ms  | 50.143ms        | 50.143ms   | 512
││││└── c_proj  | 47.000ms       | 52.154ms  | 47.547ms        | 47.547ms   | 512
││├── 23        |                |           |                 |            |
│││├── ln_1     | 123.918ms      | 145.440ms | 71.209ms        | 76.113ms   | 512
│││├── attn     |                |           |                 |            |
││││├── c_attn  | 39.672ms       | 45.580ms  | 43.749ms        | 43.749ms   | 512
││││└── c_proj  | 45.821ms       | 50.846ms  | 26.532ms        | 26.532ms   | 512
│││├── ln_2     | 123.936ms      | 145.282ms | 73.852ms        | 78.767ms   | 512
│││├── mlp      |                |           |                 |            |
││││├── c_fc    | 52.085ms       | 58.031ms  | 49.856ms        | 49.856ms   | 512
││││└── c_proj  | 47.216ms       | 52.444ms  | 47.745ms        | 47.745ms   | 512
││├── 24        |                |           |                 |            |
│││├── ln_1     | 124.262ms      | 145.963ms | 71.280ms        | 76.194ms   | 512
│││├── attn     |                |           |                 |            |
││││├── c_attn  | 39.706ms       | 45.537ms  | 43.767ms        | 43.767ms   | 512
││││└── c_proj  | 45.874ms       | 50.838ms  | 26.526ms        | 26.526ms   | 512
│││├── ln_2     | 128.668ms      | 154.924ms | 77.782ms        | 89.286ms   | 512
│││├── mlp      |                |           |                 |            |
││││├── c_fc    | 51.685ms       | 57.596ms  | 49.737ms        | 49.737ms   | 512
││││└── c_proj  | 47.212ms       | 52.411ms  | 47.931ms        | 47.931ms   | 512
││├── 25        |                |           |                 |            |
│││├── ln_1     | 127.103ms      | 148.734ms | 78.104ms        | 83.012ms   | 512
│││├── attn     |                |           |                 |            |
││││├── c_attn  | 39.943ms       | 45.891ms  | 43.902ms        | 43.902ms   | 512
││││└── c_proj  | 45.823ms       | 50.819ms  | 26.139ms        | 26.139ms   | 512
│││├── ln_2     | 123.922ms      | 145.245ms | 71.531ms        | 76.449ms   | 512
│││├── mlp      |                |           |                 |            |
││││├── c_fc    | 51.794ms       | 57.704ms  | 49.901ms        | 49.901ms   | 512
││││└── c_proj  | 47.149ms       | 52.351ms  | 47.542ms        | 47.542ms   | 512
││├── 26        |                |           |                 |            |
│││├── ln_1     | 123.678ms      | 145.169ms | 71.237ms        | 76.152ms   | 512
│││├── attn     |                |           |                 |            |
││││├── c_attn  | 39.498ms       | 45.319ms  | 43.589ms        | 43.589ms   | 512
││││└── c_proj  | 45.716ms       | 50.691ms  | 26.417ms        | 26.417ms   | 512
│││├── ln_2     | 125.302ms      | 147.193ms | 75.999ms        | 80.916ms   | 512
│││├── mlp      |                |           |                 |            |
││││├── c_fc    | 51.663ms       | 57.732ms  | 50.028ms        | 50.028ms   | 512
││││└── c_proj  | 47.257ms       | 52.475ms  | 47.729ms        | 47.729ms   | 512
││├── 27        |                |           |                 |            |
│││├── ln_1     | 123.907ms      | 145.483ms | 73.555ms        | 78.464ms   | 512
│││├── attn     |                |           |                 |            |
││││├── c_attn  | 39.716ms       | 45.629ms  | 43.798ms        | 43.798ms   | 512
││││└── c_proj  | 45.758ms       | 50.787ms  | 26.477ms        | 26.477ms   | 512
│││├── ln_2     | 124.749ms      | 146.109ms | 73.864ms        | 78.797ms   | 512
│││├── mlp      |                |           |                 |            |
││││├── c_fc    | 51.891ms       | 57.816ms  | 52.361ms        | 52.361ms   | 512
││││└── c_proj  | 47.363ms       | 52.609ms  | 47.826ms        | 47.826ms   | 512
││├── 28        |                |           |                 |            |
│││├── ln_1     | 124.626ms      | 146.189ms | 71.327ms        | 76.250ms   | 512
│││├── attn     |                |           |                 |            |
││││├── c_attn  | 39.482ms       | 45.353ms  | 43.631ms        | 43.631ms   | 512
││││└── c_proj  | 45.797ms       | 50.773ms  | 26.424ms        | 26.424ms   | 512
│││├── ln_2     | 123.974ms      | 145.387ms | 73.747ms        | 78.673ms   | 512
│││├── mlp      |                |           |                 |            |
││││├── c_fc    | 51.833ms       | 57.740ms  | 49.692ms        | 49.692ms   | 512
││││└── c_proj  | 47.151ms       | 52.300ms  | 47.474ms        | 47.474ms   | 512
││├── 29        |                |           |                 |            |
│││├── ln_1     | 123.997ms      | 145.543ms | 71.462ms        | 76.384ms   | 512
│││├── attn     |                |           |                 |            |
││││├── c_attn  | 39.537ms       | 45.422ms  | 43.930ms        | 43.930ms   | 512
││││└── c_proj  | 45.760ms       | 50.766ms  | 26.385ms        | 26.385ms   | 512
│││├── ln_2     | 125.379ms      | 146.726ms | 73.975ms        | 78.889ms   | 512
│││├── mlp      |                |           |                 |            |
││││├── c_fc    | 51.455ms       | 57.318ms  | 49.939ms        | 49.939ms   | 512
││││└── c_proj  | 47.061ms       | 52.277ms  | 47.797ms        | 47.797ms   | 512
││├── 30        |                |           |                 |            |
│││├── ln_1     | 123.917ms      | 145.495ms | 73.708ms        | 78.626ms   | 512
│││├── attn     |                |           |                 |            |
││││├── c_attn  | 39.525ms       | 45.411ms  | 43.789ms        | 43.789ms   | 512
││││└── c_proj  | 45.852ms       | 50.845ms  | 26.553ms        | 26.553ms   | 512
│││├── ln_2     | 124.118ms      | 145.537ms | 71.378ms        | 76.309ms   | 512
│││├── mlp      |                |           |                 |            |
││││├── c_fc    | 51.709ms       | 57.664ms  | 49.987ms        | 49.987ms   | 512
││││└── c_proj  | 47.162ms       | 52.321ms  | 48.132ms        | 48.132ms   | 512
││├── 31        |                |           |                 |            |
│││├── ln_1     | 124.746ms      | 146.272ms | 73.678ms        | 78.595ms   | 512
│││├── attn     |                |           |                 |            |
││││├── c_attn  | 45.465ms       | 51.357ms  | 50.565ms        | 50.565ms   | 512
││││└── c_proj  | 46.717ms       | 51.770ms  | 29.045ms        | 29.045ms   | 512
│││├── ln_2     | 126.750ms      | 148.065ms | 76.063ms        | 80.987ms   | 512
│││├── mlp      |                |           |                 |            |
││││├── c_fc    | 51.975ms       | 58.106ms  | 50.145ms        | 50.145ms   | 512
││││└── c_proj  | 51.058ms       | 56.290ms  | 52.378ms        | 52.378ms   | 512
││├── 32        |                |           |                 |            |
│││├── ln_1     | 124.073ms      | 145.649ms | 73.758ms        | 78.677ms   | 512
│││├── attn     |                |           |                 |            |
││││├── c_attn  | 39.640ms       | 45.496ms  | 43.663ms        | 43.663ms   | 512
││││└── c_proj  | 45.846ms       | 50.837ms  | 26.406ms        | 26.406ms   | 512
│││├── ln_2     | 123.928ms      | 145.343ms | 73.755ms        | 78.683ms   | 512
│││├── mlp      |                |           |                 |            |
││││├── c_fc    | 51.933ms       | 57.921ms  | 50.206ms        | 50.206ms   | 512
││││└── c_proj  | 47.130ms       | 52.329ms  | 47.765ms        | 47.765ms   | 512
││├── 33        |                |           |                 |            |
│││├── ln_1     | 123.720ms      | 145.227ms | 71.289ms        | 76.205ms   | 512
│││├── attn     |                |           |                 |            |
││││├── c_attn  | 39.647ms       | 45.533ms  | 43.686ms        | 43.686ms   | 512
││││└── c_proj  | 45.964ms       | 51.016ms  | 28.490ms        | 28.490ms   | 512
│││├── ln_2     | 125.048ms      | 146.369ms | 73.972ms        | 78.888ms   | 512
│││├── mlp      |                |           |                 |            |
││││├── c_fc    | 51.761ms       | 57.660ms  | 49.917ms        | 49.917ms   | 512
││││└── c_proj  | 47.260ms       | 52.522ms  | 47.727ms        | 47.727ms   | 512
││├── 34        |                |           |                 |            |
│││├── ln_1     | 124.233ms      | 145.796ms | 73.841ms        | 78.766ms   | 512
│││├── attn     |                |           |                 |            |
││││├── c_attn  | 46.964ms       | 52.857ms  | 49.096ms        | 49.096ms   | 512
││││└── c_proj  | 45.819ms       | 50.784ms  | 26.390ms        | 26.390ms   | 512
│││├── ln_2     | 123.822ms      | 145.292ms | 71.354ms        | 76.281ms   | 512
│││├── mlp      |                |           |                 |            |
││││├── c_fc    | 51.877ms       | 57.824ms  | 49.950ms        | 49.950ms   | 512
││││└── c_proj  | 47.080ms       | 52.234ms  | 47.703ms        | 47.703ms   | 512
││├── 35        |                |           |                 |            |
│││├── ln_1     | 126.860ms      | 148.429ms | 78.524ms        | 88.229ms   | 512
│││├── attn     |                |           |                 |            |
││││├── c_attn  | 39.741ms       | 45.665ms  | 43.831ms        | 43.831ms   | 512
││││└── c_proj  | 45.972ms       | 50.996ms  | 26.497ms        | 26.497ms   | 512
│││├── ln_2     | 123.836ms      | 145.181ms | 74.002ms        | 78.927ms   | 512
│││├── mlp      |                |           |                 |            |
││││├── c_fc    | 51.748ms       | 57.702ms  | 49.730ms        | 49.730ms   | 512
││││└── c_proj  | 47.334ms       | 52.556ms  | 47.821ms        | 47.821ms   | 512
││├── 36        |                |           |                 |            |
│││├── ln_1     | 126.665ms      | 148.244ms | 73.747ms        | 78.665ms   | 512
│││├── attn     |                |           |                 |            |
││││├── c_attn  | 39.660ms       | 45.525ms  | 43.706ms        | 43.706ms   | 512
││││└── c_proj  | 46.081ms       | 51.075ms  | 26.659ms        | 26.659ms   | 512
│││├── ln_2     | 124.329ms      | 145.888ms | 71.327ms        | 76.247ms   | 512
│││├── mlp      |                |           |                 |            |
││││├── c_fc    | 51.887ms       | 57.944ms  | 49.628ms        | 49.628ms   | 512
││││└── c_proj  | 47.438ms       | 52.641ms  | 47.728ms        | 47.728ms   | 512
││├── 37        |                |           |                 |            |
│││├── ln_1     | 123.882ms      | 145.447ms | 73.593ms        | 80.893ms   | 512
│││├── attn     |                |           |                 |            |
││││├── c_attn  | 39.606ms       | 45.540ms  | 43.900ms        | 43.900ms   | 512
││││└── c_proj  | 46.140ms       | 51.240ms  | 26.377ms        | 26.377ms   | 512
│││├── ln_2     | 124.019ms      | 145.408ms | 71.477ms        | 76.394ms   | 512
│││├── mlp      |                |           |                 |            |
││││├── c_fc    | 51.744ms       | 57.695ms  | 52.320ms        | 52.320ms   | 512
││││└── c_proj  | 47.298ms       | 52.556ms  | 47.260ms        | 47.260ms   | 512
││├── 38        |                |           |                 |            |
│││├── ln_1     | 124.153ms      | 145.831ms | 71.196ms        | 76.107ms   | 512
│││├── attn     |                |           |                 |            |
││││├── c_attn  | 39.696ms       | 45.583ms  | 43.630ms        | 43.630ms   | 512
││││└── c_proj  | 45.748ms       | 50.740ms  | 26.207ms        | 26.207ms   | 512
│││├── ln_2     | 124.084ms      | 145.583ms | 71.291ms        | 76.211ms   | 512
│││├── mlp      |                |           |                 |            |
││││├── c_fc    | 51.877ms       | 57.848ms  | 50.000ms        | 50.000ms   | 512
││││└── c_proj  | 47.124ms       | 52.285ms  | 47.384ms        | 47.384ms   | 512
││├── 39        |                |           |                 |            |
│││├── ln_1     | 124.051ms      | 145.624ms | 71.165ms        | 76.074ms   | 512
│││├── attn     |                |           |                 |            |
││││├── c_attn  | 39.664ms       | 45.586ms  | 43.837ms        | 43.837ms   | 512
││││└── c_proj  | 45.924ms       | 50.983ms  | 26.581ms        | 26.581ms   | 512
│││├── ln_2     | 124.104ms      | 145.467ms | 71.507ms        | 76.423ms   | 512
│││├── mlp      |                |           |                 |            |
││││├── c_fc    | 51.713ms       | 57.619ms  | 50.021ms        | 50.021ms   | 512
││││└── c_proj  | 47.273ms       | 52.517ms  | 47.934ms        | 47.934ms   | 512
││├── 40        |                |           |                 |            |
│││├── ln_1     | 123.981ms      | 145.557ms | 71.354ms        | 76.268ms   | 512
│││├── attn     |                |           |                 |            |
││││├── c_attn  | 39.661ms       | 45.529ms  | 46.214ms        | 46.214ms   | 512
││││└── c_proj  | 45.832ms       | 50.807ms  | 26.238ms        | 26.238ms   | 512
│││├── ln_2     | 124.047ms      | 145.578ms | 71.345ms        | 76.270ms   | 512
│││├── mlp      |                |           |                 |            |
││││├── c_fc    | 51.921ms       | 57.913ms  | 52.135ms        | 52.135ms   | 512
││││└── c_proj  | 47.185ms       | 52.370ms  | 47.684ms        | 47.684ms   | 512
││├── 41        |                |           |                 |            |
│││├── ln_1     | 124.866ms      | 147.408ms | 73.735ms        | 78.650ms   | 512
│││├── attn     |                |           |                 |            |
││││├── c_attn  | 40.505ms       | 46.411ms  | 46.252ms        | 46.252ms   | 512
││││└── c_proj  | 45.797ms       | 50.828ms  | 26.386ms        | 26.386ms   | 512
│││├── ln_2     | 124.066ms      | 145.429ms | 71.633ms        | 76.557ms   | 512
│││├── mlp      |                |           |                 |            |
││││├── c_fc    | 51.789ms       | 57.838ms  | 49.446ms        | 49.446ms   | 512
││││└── c_proj  | 47.283ms       | 52.530ms  | 48.286ms        | 48.286ms   | 512
││├── 42        |                |           |                 |            |
│││├── ln_1     | 123.784ms      | 145.344ms | 71.478ms        | 76.394ms   | 512
│││├── attn     |                |           |                 |            |
││││├── c_attn  | 39.514ms       | 45.400ms  | 43.633ms        | 43.633ms   | 512
││││└── c_proj  | 45.801ms       | 50.808ms  | 26.353ms        | 26.353ms   | 512
│││├── ln_2     | 124.150ms      | 145.676ms | 71.382ms        | 76.308ms   | 512
│││├── mlp      |                |           |                 |            |
