Module          | Self CPU total | CPU total | Self CUDA total | CUDA total | Number of Calls
│││├── attn     |                |           |                 |            |
││││├── c_attn  | 40.651ms       | 47.610ms  | 37.160ms        | 37.160ms   | 512
││││└── c_proj  | 45.958ms       | 50.964ms  | 25.885ms        | 25.885ms   | 512
│││├── ln_2     | 124.565ms      | 146.316ms | 70.765ms        | 75.641ms   | 512
│││├── mlp      |                |           |                 |            |
││││├── c_fc    | 39.356ms       | 45.445ms  | 42.863ms        | 42.863ms   | 512
││││└── c_proj  | 48.087ms       | 53.437ms  | 46.655ms        | 46.655ms   | 512
││├── 7         |                |           |                 |            |
│││├── ln_1     | 126.877ms      | 148.455ms | 70.792ms        | 75.671ms   | 512
│││├── attn     |                |           |                 |            |
││││├── c_attn  | 39.112ms       | 45.229ms  | 37.004ms        | 37.004ms   | 512
││││└── c_proj  | 49.895ms       | 57.931ms  | 32.727ms        | 32.727ms   | 512
│││├── ln_2     | 123.984ms      | 145.545ms | 68.315ms        | 73.192ms   | 512
│││├── mlp      |                |           |                 |            |
││││├── c_fc    | 39.229ms       | 45.252ms  | 42.478ms        | 42.478ms   | 512
││││└── c_proj  | 47.423ms       | 52.706ms  | 46.540ms        | 46.540ms   | 512
││├── 8         |                |           |                 |            |
│││├── ln_1     | 125.207ms      | 146.922ms | 70.726ms        | 75.604ms   | 512
│││├── attn     |                |           |                 |            |
││││├── c_attn  | 39.524ms       | 45.682ms  | 39.594ms        | 39.594ms   | 512
││││└── c_proj  | 45.840ms       | 50.806ms  | 27.627ms        | 27.627ms   | 512
│││├── ln_2     | 124.069ms      | 145.705ms | 70.759ms        | 75.636ms   | 512
│││├── mlp      |                |           |                 |            |
││││├── c_fc    | 39.296ms       | 45.372ms  | 43.050ms        | 43.050ms   | 512
││││└── c_proj  | 47.224ms       | 52.509ms  | 46.274ms        | 46.274ms   | 512
││├── 9         |                |           |                 |            |
│││├── ln_1     | 123.747ms      | 145.327ms | 68.352ms        | 73.228ms   | 512
│││├── attn     |                |           |                 |            |
││││├── c_attn  | 39.227ms       | 45.306ms  | 37.263ms        | 37.263ms   | 512
││││└── c_proj  | 45.653ms       | 50.586ms  | 25.429ms        | 25.429ms   | 512
│││├── ln_2     | 123.799ms      | 145.368ms | 73.126ms        | 80.395ms   | 512
│││├── mlp      |                |           |                 |            |
││││├── c_fc    | 39.152ms       | 45.219ms  | 42.590ms        | 42.590ms   | 512
││││└── c_proj  | 47.334ms       | 52.614ms  | 46.039ms        | 46.039ms   | 512
││├── 10        |                |           |                 |            |
│││├── ln_1     | 123.722ms      | 145.355ms | 68.514ms        | 73.397ms   | 512
│││├── attn     |                |           |                 |            |
││││├── c_attn  | 39.134ms       | 45.235ms  | 37.563ms        | 37.563ms   | 512
││││└── c_proj  | 45.551ms       | 50.485ms  | 25.631ms        | 25.631ms   | 512
│││├── ln_2     | 126.592ms      | 148.102ms | 70.927ms        | 75.806ms   | 512
│││├── mlp      |                |           |                 |            |
││││├── c_fc    | 38.987ms       | 45.052ms  | 42.799ms        | 42.799ms   | 512
││││└── c_proj  | 47.256ms       | 52.561ms  | 48.395ms        | 48.395ms   | 512
││├── 11        |                |           |                 |            |
│││├── ln_1     | 123.603ms      | 145.183ms | 75.686ms        | 85.356ms   | 512
│││├── attn     |                |           |                 |            |
││││├── c_attn  | 38.980ms       | 45.048ms  | 37.321ms        | 37.321ms   | 512
││││└── c_proj  | 45.577ms       | 50.490ms  | 25.472ms        | 25.472ms   | 512
│││├── ln_2     | 123.528ms      | 145.042ms | 68.466ms        | 73.353ms   | 512
│││├── mlp      |                |           |                 |            |
││││├── c_fc    | 39.112ms       | 45.278ms  | 42.819ms        | 42.819ms   | 512
││││└── c_proj  | 47.227ms       | 52.519ms  | 46.115ms        | 46.115ms   | 512
││├── 12        |                |           |                 |            |
│││├── ln_1     | 125.619ms      | 147.349ms | 70.898ms        | 78.175ms   | 512
│││├── attn     |                |           |                 |            |
││││├── c_attn  | 39.456ms       | 45.630ms  | 37.288ms        | 37.288ms   | 512
││││└── c_proj  | 45.725ms       | 50.666ms  | 25.546ms        | 25.546ms   | 512
│││├── ln_2     | 123.755ms      | 145.386ms | 68.527ms        | 73.412ms   | 512
│││├── mlp      |                |           |                 |            |
││││├── c_fc    | 39.347ms       | 45.428ms  | 42.784ms        | 42.784ms   | 512
││││└── c_proj  | 47.312ms       | 52.611ms  | 46.515ms        | 46.515ms   | 512
││├── 13        |                |           |                 |            |
│││├── ln_1     | 123.613ms      | 145.126ms | 70.916ms        | 78.195ms   | 512
│││├── attn     |                |           |                 |            |
││││├── c_attn  | 40.219ms       | 46.285ms  | 39.514ms        | 39.514ms   | 512
││││└── c_proj  | 45.678ms       | 50.651ms  | 25.566ms        | 25.566ms   | 512
│││├── ln_2     | 125.283ms      | 147.254ms | 73.349ms        | 80.621ms   | 512
│││├── mlp      |                |           |                 |            |
││││├── c_fc    | 39.240ms       | 45.385ms  | 42.749ms        | 42.749ms   | 512
││││└── c_proj  | 47.276ms       | 52.568ms  | 47.125ms        | 47.125ms   | 512
││├── 14        |                |           |                 |            |
│││├── ln_1     | 123.739ms      | 145.460ms | 68.508ms        | 73.390ms   | 512
│││├── attn     |                |           |                 |            |
││││├── c_attn  | 39.231ms       | 45.296ms  | 37.083ms        | 37.083ms   | 512
││││└── c_proj  | 45.563ms       | 50.527ms  | 25.575ms        | 25.575ms   | 512
│││├── ln_2     | 123.802ms      | 145.408ms | 68.407ms        | 73.287ms   | 512
│││├── mlp      |                |           |                 |            |
││││├── c_fc    | 39.309ms       | 45.484ms  | 45.179ms        | 45.179ms   | 512
││││└── c_proj  | 47.265ms       | 52.661ms  | 46.626ms        | 46.626ms   | 512
││├── 15        |                |           |                 |            |
│││├── ln_1     | 124.833ms      | 146.809ms | 73.156ms        | 78.033ms   | 512
│││├── attn     |                |           |                 |            |
││││├── c_attn  | 39.233ms       | 45.340ms  | 37.001ms        | 37.001ms   | 512
││││└── c_proj  | 45.351ms       | 50.263ms  | 25.279ms        | 25.279ms   | 512
│││├── ln_2     | 124.286ms      | 145.952ms | 70.795ms        | 75.671ms   | 512
│││├── mlp      |                |           |                 |            |
││││├── c_fc    | 39.361ms       | 45.479ms  | 42.760ms        | 42.760ms   | 512
││││└── c_proj  | 47.167ms       | 52.464ms  | 46.646ms        | 46.646ms   | 512
││├── 16        |                |           |                 |            |
│││├── ln_1     | 123.772ms      | 145.438ms | 68.427ms        | 73.309ms   | 512
│││├── attn     |                |           |                 |            |
││││├── c_attn  | 39.225ms       | 45.309ms  | 37.377ms        | 37.377ms   | 512
││││└── c_proj  | 45.544ms       | 50.471ms  | 25.196ms        | 25.196ms   | 512
│││├── ln_2     | 124.655ms      | 146.215ms | 68.368ms        | 73.242ms   | 512
│││├── mlp      |                |           |                 |            |
││││├── c_fc    | 39.257ms       | 45.341ms  | 42.731ms        | 42.731ms   | 512
││││└── c_proj  | 47.182ms       | 52.524ms  | 46.250ms        | 46.250ms   | 512
││├── 17        |                |           |                 |            |
│││├── ln_1     | 123.801ms      | 145.420ms | 68.413ms        | 73.291ms   | 512
│││├── attn     |                |           |                 |            |
││││├── c_attn  | 39.129ms       | 45.232ms  | 37.320ms        | 37.320ms   | 512
││││└── c_proj  | 45.519ms       | 50.421ms  | 25.499ms        | 25.499ms   | 512
│││├── ln_2     | 123.580ms      | 145.049ms | 68.362ms        | 73.239ms   | 512
│││├── mlp      |                |           |                 |            |
││││├── c_fc    | 39.155ms       | 45.234ms  | 42.600ms        | 42.600ms   | 512
││││└── c_proj  | 47.217ms       | 52.503ms  | 46.102ms        | 46.102ms   | 512
││├── 18        |                |           |                 |            |
│││├── ln_1     | 123.766ms      | 145.424ms | 68.376ms        | 73.254ms   | 512
│││├── attn     |                |           |                 |            |
││││├── c_attn  | 39.296ms       | 45.407ms  | 36.702ms        | 36.702ms   | 512
││││└── c_proj  | 45.470ms       | 50.410ms  | 25.783ms        | 25.783ms   | 512
│││├── ln_2     | 123.784ms      | 145.404ms | 68.417ms        | 73.297ms   | 512
│││├── mlp      |                |           |                 |            |
││││├── c_fc    | 39.028ms       | 45.105ms  | 42.580ms        | 42.580ms   | 512
││││└── c_proj  | 47.638ms       | 52.913ms  | 46.376ms        | 46.376ms   | 512
││├── 19        |                |           |                 |            |
│││├── ln_1     | 124.061ms      | 145.601ms | 68.418ms        | 73.300ms   | 512
│││├── attn     |                |           |                 |            |
││││├── c_attn  | 39.117ms       | 45.236ms  | 36.612ms        | 36.612ms   | 512
││││└── c_proj  | 45.623ms       | 50.575ms  | 25.451ms        | 25.451ms   | 512
│││├── ln_2     | 124.816ms      | 146.590ms | 73.184ms        | 78.066ms   | 512
│││├── mlp      |                |           |                 |            |
││││├── c_fc    | 39.158ms       | 45.236ms  | 42.756ms        | 42.756ms   | 512
││││└── c_proj  | 47.202ms       | 52.513ms  | 46.483ms        | 46.483ms   | 512
││├── 20        |                |           |                 |            |
│││├── ln_1     | 123.769ms      | 145.495ms | 70.853ms        | 75.730ms   | 512
│││├── attn     |                |           |                 |            |
││││├── c_attn  | 39.167ms       | 45.219ms  | 36.638ms        | 36.638ms   | 512
││││└── c_proj  | 45.552ms       | 50.505ms  | 25.261ms        | 25.261ms   | 512
│││├── ln_2     | 124.798ms      | 146.797ms | 68.358ms        | 73.233ms   | 512
│││├── mlp      |                |           |                 |            |
││││├── c_fc    | 39.268ms       | 45.446ms  | 42.753ms        | 42.753ms   | 512
││││└── c_proj  | 47.257ms       | 52.530ms  | 46.234ms        | 46.234ms   | 512
││├── 21        |                |           |                 |            |
│││├── ln_1     | 123.479ms      | 145.055ms | 68.369ms        | 73.246ms   | 512
│││├── attn     |                |           |                 |            |
││││├── c_attn  | 39.220ms       | 45.352ms  | 36.950ms        | 36.950ms   | 512
││││└── c_proj  | 45.534ms       | 50.455ms  | 25.533ms        | 25.533ms   | 512
│││├── ln_2     | 123.520ms      | 145.094ms | 68.494ms        | 73.371ms   | 512
│││├── mlp      |                |           |                 |            |
││││├── c_fc    | 39.169ms       | 45.286ms  | 42.868ms        | 42.868ms   | 512
││││└── c_proj  | 48.153ms       | 53.461ms  | 46.486ms        | 46.486ms   | 512
││├── 22        |                |           |                 |            |
│││├── ln_1     | 123.609ms      | 145.316ms | 68.399ms        | 73.277ms   | 512
│││├── attn     |                |           |                 |            |
││││├── c_attn  | 39.066ms       | 45.137ms  | 37.014ms        | 37.014ms   | 512
││││└── c_proj  | 45.735ms       | 50.724ms  | 27.862ms        | 27.862ms   | 512
│││├── ln_2     | 123.806ms      | 145.466ms | 70.719ms        | 75.589ms   | 512
│││├── mlp      |                |           |                 |            |
││││├── c_fc    | 39.538ms       | 45.954ms  | 42.687ms        | 42.687ms   | 512
││││└── c_proj  | 47.280ms       | 52.574ms  | 45.990ms        | 45.990ms   | 512
││├── 23        |                |           |                 |            |
│││├── ln_1     | 123.601ms      | 145.184ms | 68.397ms        | 73.273ms   | 512
│││├── attn     |                |           |                 |            |
││││├── c_attn  | 39.375ms       | 45.416ms  | 37.000ms        | 37.000ms   | 512
││││└── c_proj  | 46.462ms       | 51.864ms  | 25.472ms        | 25.472ms   | 512
│││├── ln_2     | 123.309ms      | 144.826ms | 70.775ms        | 75.652ms   | 512
│││├── mlp      |                |           |                 |            |
││││├── c_fc    | 39.212ms       | 45.372ms  | 42.585ms        | 42.585ms   | 512
││││└── c_proj  | 47.438ms       | 52.966ms  | 46.426ms        | 46.426ms   | 512
││├── 24        |                |           |                 |            |
│││├── ln_1     | 123.604ms      | 145.253ms | 68.387ms        | 73.264ms   | 512
│││├── attn     |                |           |                 |            |
││││├── c_attn  | 39.138ms       | 45.233ms  | 36.923ms        | 36.923ms   | 512
││││└── c_proj  | 45.410ms       | 50.352ms  | 27.767ms        | 27.767ms   | 512
│││├── ln_2     | 123.690ms      | 145.351ms | 68.383ms        | 73.260ms   | 512
│││├── mlp      |                |           |                 |            |
││││├── c_fc    | 39.223ms       | 45.341ms  | 42.587ms        | 42.587ms   | 512
││││└── c_proj  | 47.343ms       | 52.632ms  | 46.310ms        | 46.310ms   | 512
││├── 25        |                |           |                 |            |
│││├── ln_1     | 123.459ms      | 145.041ms | 68.348ms        | 73.228ms   | 512
│││├── attn     |                |           |                 |            |
││││├── c_attn  | 39.220ms       | 45.284ms  | 36.749ms        | 36.749ms   | 512
││││└── c_proj  | 45.516ms       | 50.476ms  | 25.767ms        | 25.767ms   | 512
│││├── ln_2     | 123.682ms      | 145.283ms | 68.311ms        | 73.192ms   | 512
│││├── mlp      |                |           |                 |            |
││││├── c_fc    | 39.160ms       | 45.202ms  | 42.899ms        | 42.899ms   | 512
││││└── c_proj  | 47.240ms       | 52.518ms  | 46.467ms        | 46.467ms   | 512
││├── 26        |                |           |                 |            |
│││├── ln_1     | 125.148ms      | 146.932ms | 70.827ms        | 75.708ms   | 512
│││├── attn     |                |           |                 |            |
││││├── c_attn  | 39.405ms       | 45.546ms  | 37.278ms        | 37.278ms   | 512
││││└── c_proj  | 45.569ms       | 50.479ms  | 25.385ms        | 25.385ms   | 512
│││├── ln_2     | 123.583ms      | 145.192ms | 70.776ms        | 78.048ms   | 512
│││├── mlp      |                |           |                 |            |
││││├── c_fc    | 39.411ms       | 45.508ms  | 42.686ms        | 42.686ms   | 512
││││└── c_proj  | 47.159ms       | 52.461ms  | 46.965ms        | 46.965ms   | 512
││├── 27        |                |           |                 |            |
│││├── ln_1     | 123.742ms      | 145.369ms | 68.508ms        | 73.395ms   | 512
│││├── attn     |                |           |                 |            |
││││├── c_attn  | 39.442ms       | 45.585ms  | 36.977ms        | 36.977ms   | 512
││││└── c_proj  | 46.521ms       | 51.482ms  | 25.705ms        | 25.705ms   | 512
│││├── ln_2     | 123.450ms      | 145.074ms | 68.399ms        | 73.277ms   | 512
│││├── mlp      |                |           |                 |            |
││││├── c_fc    | 39.134ms       | 45.210ms  | 42.696ms        | 42.696ms   | 512
││││└── c_proj  | 47.155ms       | 52.441ms  | 46.812ms        | 46.812ms   | 512
││├── 28        |                |           |                 |            |
│││├── ln_1     | 124.630ms      | 146.330ms | 73.174ms        | 80.446ms   | 512
│││├── attn     |                |           |                 |            |
││││├── c_attn  | 39.788ms       | 45.925ms  | 36.751ms        | 36.751ms   | 512
││││└── c_proj  | 45.623ms       | 50.587ms  | 25.671ms        | 25.671ms   | 512
│││├── ln_2     | 123.720ms      | 145.331ms | 68.372ms        | 73.251ms   | 512
│││├── mlp      |                |           |                 |            |
││││├── c_fc    | 39.329ms       | 45.431ms  | 43.036ms        | 43.036ms   | 512
││││└── c_proj  | 47.302ms       | 52.627ms  | 46.609ms        | 46.609ms   | 512
││├── 29        |                |           |                 |            |
│││├── ln_1     | 123.555ms      | 145.151ms | 68.483ms        | 73.368ms   | 512
│││├── attn     |                |           |                 |            |
││││├── c_attn  | 39.185ms       | 45.251ms  | 36.862ms        | 36.862ms   | 512
││││└── c_proj  | 46.284ms       | 51.636ms  | 25.627ms        | 25.627ms   | 512
│││├── ln_2     | 123.498ms      | 145.077ms | 68.479ms        | 73.359ms   | 512
│││├── mlp      |                |           |                 |            |
││││├── c_fc    | 39.343ms       | 45.659ms  | 42.796ms        | 42.796ms   | 512
││││└── c_proj  | 47.207ms       | 52.506ms  | 46.137ms        | 46.137ms   | 512
││├── 30        |                |           |                 |            |
│││├── ln_1     | 123.701ms      | 145.395ms | 68.509ms        | 73.401ms   | 512
│││├── attn     |                |           |                 |            |
││││├── c_attn  | 39.171ms       | 45.287ms  | 37.042ms        | 37.042ms   | 512
││││└── c_proj  | 45.491ms       | 50.411ms  | 25.424ms        | 25.424ms   | 512
│││├── ln_2     | 123.695ms      | 145.361ms | 73.253ms        | 78.137ms   | 512
│││├── mlp      |                |           |                 |            |
││││├── c_fc    | 39.195ms       | 45.285ms  | 42.962ms        | 42.962ms   | 512
││││└── c_proj  | 47.176ms       | 52.444ms  | 46.093ms        | 46.093ms   | 512
││├── 31        |                |           |                 |            |
│││├── ln_1     | 152.341ms      | 173.915ms | 103.577ms       | 113.248ms  | 512
│││├── attn     |                |           |                 |            |
││││├── c_attn  | 40.094ms       | 46.598ms  | 36.912ms        | 36.912ms   | 512
││││└── c_proj  | 45.553ms       | 50.536ms  | 25.515ms        | 25.515ms   | 512
│││├── ln_2     | 123.508ms      | 145.090ms | 68.515ms        | 73.402ms   | 512
│││├── mlp      |                |           |                 |            |
││││├── c_fc    | 39.405ms       | 45.636ms  | 43.071ms        | 43.071ms   | 512
││││└── c_proj  | 50.097ms       | 55.465ms  | 48.616ms        | 48.616ms   | 512
││├── 32        |                |           |                 |            |
│││├── ln_1     | 123.647ms      | 145.371ms | 68.506ms        | 73.390ms   | 512
│││├── attn     |                |           |                 |            |
││││├── c_attn  | 39.237ms       | 45.305ms  | 36.842ms        | 36.842ms   | 512
││││└── c_proj  | 45.652ms       | 50.607ms  | 25.429ms        | 25.429ms   | 512
│││├── ln_2     | 123.849ms      | 145.567ms | 68.448ms        | 73.334ms   | 512
│││├── mlp      |                |           |                 |            |
││││├── c_fc    | 39.212ms       | 45.374ms  | 42.946ms        | 42.946ms   | 512
││││└── c_proj  | 47.802ms       | 53.188ms  | 46.310ms        | 46.310ms   | 512
││├── 33        |                |           |                 |            |
│││├── ln_1     | 123.581ms      | 145.169ms | 70.901ms        | 75.790ms   | 512
│││├── attn     |                |           |                 |            |
││││├── c_attn  | 39.414ms       | 45.550ms  | 36.819ms        | 36.819ms   | 512
││││└── c_proj  | 45.502ms       | 50.467ms  | 25.639ms        | 25.639ms   | 512
│││├── ln_2     | 156.984ms      | 178.696ms | 102.674ms       | 109.951ms  | 512
│││├── mlp      |                |           |                 |            |
││││├── c_fc    | 39.433ms       | 45.584ms  | 42.777ms        | 42.777ms   | 512
││││└── c_proj  | 47.109ms       | 52.388ms  | 46.337ms        | 46.337ms   | 512
││├── 34        |                |           |                 |            |
│││├── ln_1     | 123.573ms      | 145.254ms | 70.968ms        | 78.249ms   | 512
│││├── attn     |                |           |                 |            |
││││├── c_attn  | 39.274ms       | 45.368ms  | 37.060ms        | 37.060ms   | 512
││││└── c_proj  | 45.535ms       | 50.490ms  | 25.724ms        | 25.724ms   | 512
│││├── ln_2     | 123.640ms      | 145.243ms | 68.484ms        | 73.367ms   | 512
│││├── mlp      |                |           |                 |            |
││││├── c_fc    | 39.434ms       | 45.518ms  | 43.094ms        | 43.094ms   | 512
││││└── c_proj  | 47.496ms       | 53.267ms  | 46.499ms        | 46.499ms   | 512
││├── 35        |                |           |                 |            |
│││├── ln_1     | 123.708ms      | 145.444ms | 68.507ms        | 73.396ms   | 512
│││├── attn     |                |           |                 |            |
││││├── c_attn  | 39.246ms       | 45.360ms  | 37.223ms        | 37.223ms   | 512
││││└── c_proj  | 46.202ms       | 51.278ms  | 25.742ms        | 25.742ms   | 512
│││├── ln_2     | 123.575ms      | 145.276ms | 68.347ms        | 73.235ms   | 512
│││├── mlp      |                |           |                 |            |
││││├── c_fc    | 39.431ms       | 45.546ms  | 42.434ms        | 42.434ms   | 512
││││└── c_proj  | 48.161ms       | 53.964ms  | 46.333ms        | 46.333ms   | 512
││├── 36        |                |           |                 |            |
│││├── ln_1     | 123.651ms      | 145.361ms | 73.202ms        | 80.473ms   | 512
│││├── attn     |                |           |                 |            |
││││├── c_attn  | 39.085ms       | 45.219ms  | 37.048ms        | 37.048ms   | 512
││││└── c_proj  | 45.626ms       | 50.609ms  | 25.385ms        | 25.385ms   | 512
│││├── ln_2     | 123.867ms      | 145.690ms | 70.795ms        | 75.677ms   | 512
│││├── mlp      |                |           |                 |            |
││││├── c_fc    | 39.290ms       | 45.348ms  | 42.639ms        | 42.639ms   | 512
││││└── c_proj  | 75.586ms       | 80.878ms  | 46.057ms        | 46.057ms   | 512
││├── 37        |                |           |                 |            |
│││├── ln_1     | 123.821ms      | 145.454ms | 68.374ms        | 73.253ms   | 512
│││├── attn     |                |           |                 |            |
││││├── c_attn  | 39.401ms       | 45.570ms  | 37.455ms        | 37.455ms   | 512
││││└── c_proj  | 45.784ms       | 50.785ms  | 25.316ms        | 25.316ms   | 512
│││├── ln_2     | 126.801ms      | 148.504ms | 77.618ms        | 84.885ms   | 512
│││├── mlp      |                |           |                 |            |
││││├── c_fc    | 39.245ms       | 45.337ms  | 42.747ms        | 42.747ms   | 512
││││└── c_proj  | 47.251ms       | 52.590ms  | 46.320ms        | 46.320ms   | 512
││├── 38        |                |           |                 |            |
│││├── ln_1     | 123.686ms      | 145.466ms | 68.406ms        | 73.284ms   | 512
│││├── attn     |                |           |                 |            |
││││├── c_attn  | 39.201ms       | 45.285ms  | 36.958ms        | 36.958ms   | 512
││││└── c_proj  | 45.556ms       | 50.511ms  | 25.457ms        | 25.457ms   | 512
│││├── ln_2     | 123.797ms      | 145.545ms | 70.801ms        | 75.682ms   | 512
│││├── mlp      |                |           |                 |            |
││││├── c_fc    | 39.368ms       | 45.688ms  | 42.635ms        | 42.635ms   | 512
││││└── c_proj  | 47.134ms       | 52.406ms  | 46.232ms        | 46.232ms   | 512
││├── 39        |                |           |                 |            |
│││├── ln_1     | 123.519ms      | 145.161ms | 70.808ms        | 75.685ms   | 512
│││├── attn     |                |           |                 |            |
││││├── c_attn  | 40.248ms       | 46.433ms  | 37.279ms        | 37.279ms   | 512
││││└── c_proj  | 45.666ms       | 50.632ms  | 25.460ms        | 25.460ms   | 512
│││├── ln_2     | 123.602ms      | 145.365ms | 68.387ms        | 73.267ms   | 512
│││├── mlp      |                |           |                 |            |
││││├── c_fc    | 39.252ms       | 45.388ms  | 42.674ms        | 42.674ms   | 512
││││└── c_proj  | 50.058ms       | 55.404ms  | 46.216ms        | 46.216ms   | 512
││├── 40        |                |           |                 |            |
│││├── ln_1     | 124.322ms      | 146.395ms | 73.196ms        | 78.073ms   | 512
│││├── attn     |                |           |                 |            |
││││├── c_attn  | 39.731ms       | 45.785ms  | 41.985ms        | 41.985ms   | 512
││││└── c_proj  | 45.544ms       | 50.519ms  | 25.662ms        | 25.662ms   | 512
│││├── ln_2     | 124.015ms      | 146.079ms | 70.761ms        | 75.638ms   | 512
│││├── mlp      |                |           |                 |            |
││││├── c_fc    | 39.325ms       | 45.561ms  | 42.851ms        | 42.851ms   | 512
││││└── c_proj  | 47.150ms       | 52.441ms  | 46.215ms        | 46.215ms   | 512
││├── 41        |                |           |                 |            |
│││├── ln_1     | 123.740ms      | 145.485ms | 73.198ms        | 78.078ms   | 512
│││├── attn     |                |           |                 |            |
││││├── c_attn  | 39.200ms       | 45.258ms  | 37.152ms        | 37.152ms   | 512
││││└── c_proj  | 45.487ms       | 50.427ms  | 25.442ms        | 25.442ms   | 512
│││├── ln_2     | 123.606ms      | 145.276ms | 68.406ms        | 73.283ms   | 512
│││├── mlp      |                |           |                 |            |
││││├── c_fc    | 40.319ms       | 47.065ms  | 45.038ms        | 45.038ms   | 512
││││└── c_proj  | 47.353ms       | 52.808ms  | 45.794ms        | 45.794ms   | 512
││├── 42        |                |           |                 |            |
│││├── ln_1     | 124.073ms      | 145.787ms | 70.797ms        | 78.068ms   | 512
│││├── attn     |                |           |                 |            |
││││├── c_attn  | 40.153ms       | 46.726ms  | 41.645ms        | 41.645ms   | 512
││││└── c_proj  | 45.604ms       | 50.585ms  | 25.349ms        | 25.349ms   | 512
│││├── ln_2     | 123.734ms      | 145.551ms | 68.367ms        | 73.246ms   | 512
│││├── mlp      |                |           |                 |            |
